station_name,crs,nlc,slug,latitude,longitude,operator_code,operator_name,minimum_connection_time,platform_count,staffing_level,step_free_category,word_count,first_word,last_word,character_count,initial_letter,final_letter,contains_hyphen,contains_apostrophe,contains_digits,starts_with_the,starts_with_st,contains_and,contains_central,contains_parkway,contains_junction,is_request_stop,is_interchange,route_count,service_count,is_terminus,is_branch_line,is_mainline,primary_hub,canonical_time_to_hub,route_groups,service_density,route_diversity_band,region,word_count_band,is_coastal,station_id,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Liverpool Central,LVC,224200,liverpool-central,53.40461053,-2.979159936,ME,Merseyrail,10,3.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Liverpool,Central,17,L,L,False,False,False,False,False,False,True,False,False,False,,8,,,True,False,Liverpool Central,,"['Southport Line', 'Ormskirk Line', 'Headbolt Lane Line', 'Hunts Cross Line', 'West Kirby Line', 'New Brighton Line', 'Chester Line', 'Ellesmere Port Line']",,many,Southport Line,multiple,True,MER0040,MER0040,,,,,False,
Liverpool James Street,LVJ,224400,liverpool-james-street,53.40477452,-2.991964872,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",3,Liverpool,Street,22,L,T,False,False,False,False,False,False,False,False,False,False,,0,,,False,True,Liverpool Central,,[],,single,,multiple,False,MER0041,MER0041,,,,,False,
Liverpool South Parkway,LPY,970900,liverpool-south-parkway,53.35758121,-2.889294039,ME,Merseyrail,5,6.0,Full Time,"A, Compliant step-free access to all platform(s)",3,Liverpool,Parkway,23,L,Y,False,False,False,False,False,False,False,True,False,False,,1,,,True,False,Liverpool Central,,['Hunts Cross Line'],,single,Hunts Cross Line,multiple,False,MER0042,MER0042,,,,,False,
Maghull,MAG,215500,maghull,53.50648347,-2.930857798,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Maghull,Maghull,7,M,L,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Ormskirk Line'],,single,Ormskirk Line,single,False,MER0043,MER0043,,,,,False,
Maghull North,MNS,6576,maghull-north,53.516,-2.922,ME,Merseyrail,5,2.0,Part Time,"A, Compliant step-free access to all platform(s)",2,Maghull,North,13,M,H,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Ormskirk Line'],,single,Ormskirk Line,multiple,False,MER0044,MER0044,,,,,False,
Manor Road,MNR,225300,manor-road,53.39479742,-3.171450295,ME,Merseyrail,5,2.0,Full Time,"B3, step-free access only to some platforms",2,Manor,Road,10,M,D,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['West Kirby Line'],,single,West Kirby Line,multiple,True,MER0045,MER0045,,,,,False,
Meols,MEO,225400,meols,53.39945033,-3.154281087,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Meols,Meols,5,M,S,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['West Kirby Line'],,single,West Kirby Line,single,True,MER0046,MER0046,,,,,False,
Moorfields,MRF,222600,moorfields,53.40857308,-2.989179871,ME,Merseyrail,10,,Full Time,"A, Compliant step-free access to all platform(s)",1,Moorfields,Moorfields,10,M,S,False,False,False,False,False,False,False,False,False,False,,7,,,True,False,Liverpool Central,,"['Southport Line', 'Ormskirk Line', 'Headbolt Lane Line', 'West Kirby Line', 'New Brighton Line', 'Chester Line', 'Ellesmere Port Line']",,many,Southport Line,single,True,MER0047,MER0047,,,,,False,
Moreton (Merseyside),MRT,215100,moreton-merseyside,53.40793134,-3.113140165,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Moreton,(Merseyside),20,M,),False,False,False,False,False,False,False,False,False,False,,0,,,False,True,Liverpool Central,,[],,single,,multiple,False,MER0048,MER0048,,,,,False,
New Brighton,NBN,215200,new-brighton,53.43727598,-3.049174288,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,New,Brighton,12,N,N,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['New Brighton Line'],,single,New Brighton Line,multiple,True,MER0049,MER0049,,,,,False,
Old Roan,ORN,225800,old-roan,53.48690801,-2.951077083,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Old,Roan,8,O,N,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Ormskirk Line'],,single,Ormskirk Line,multiple,False,MER0050,MER0050,,,,,False,
Ormskirk,OMS,228100,ormskirk,53.56896888,-2.88179342,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Ormskirk,Ormskirk,8,O,K,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Ormskirk Line'],,single,Ormskirk Line,single,False,MER0051,MER0051,,,,,False,
Orrell Park,OPK,224700,orrell-park,53.46191022,-2.963321542,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Orrell,Park,11,O,K,False,False,False,False,False,False,False,False,False,False,,0,,,False,True,Liverpool Central,,[],,single,,multiple,False,MER0052,MER0052,,,,,False,
Overpool,OVE,215700,overpool,53.28414758,-2.924818617,ME,Merseyrail,5,2.0,Unstaffed,"A, Compliant step-free access to all platform(s)",1,Overpool,Overpool,8,O,L,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Ellesmere Port Line'],,single,Ellesmere Port Line,single,False,MER0053,MER0053,,,,,False,
Port Sunlight,PSL,219800,port-sunlight,53.3492693,-2.99803707,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform",2,Port,Sunlight,13,P,T,False,False,False,False,False,False,False,False,False,False,,3,,,True,False,Liverpool Central,,"['West Kirby Line', 'Chester Line', 'Ellesmere Port Line']",,few,West Kirby Line,multiple,True,MER0054,MER0054,,,,,False,
Rice Lane,RIL,213100,rice-lane,53.45778328,-2.962324455,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform",2,Rice,Lane,9,R,E,False,False,False,False,False,False,False,False,False,False,,2,,,True,False,Liverpool Central,,"['Ormskirk Line', 'Headbolt Lane Line']",,few,Ormskirk Line,multiple,False,MER0055,MER0055,,,,,False,
Rock Ferry,RFY,218900,rock-ferry,53.37289259,-3.010914905,ME,Merseyrail,2,4.0,Full Time,"B2, (refer to quick reference guide)",2,Rock,Ferry,10,R,Y,False,False,False,False,False,False,False,False,False,False,,3,,,True,False,Liverpool Central,,"['West Kirby Line', 'Chester Line', 'Ellesmere Port Line']",,few,West Kirby Line,multiple,True,MER0056,MER0056,,,,,False,
Sandhills,SDL,224900,sandhills,53.42994809,-2.991497322,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Sandhills,Sandhills,9,S,S,False,False,False,False,False,False,False,False,False,False,,3,,,True,False,Liverpool Central,,"['Southport Line', 'Ormskirk Line', 'Headbolt Lane Line']",,few,Southport Line,single,True,MER0057,MER0057,,,,,False,
Seaforth & Litherland,SFL,225000,seaforth-litherland,53.46611293,-3.005295121,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",3,Seaforth,Litherland,21,S,D,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Southport Line'],,single,Southport Line,multiple,True,MER0058,MER0058,,,,,False,
Southport,SOP,226200,southport,53.64652777,-3.00244063,ME,Merseyrail,5,6.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Southport,Southport,9,S,T,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Southport Line'],,single,Southport Line,single,True,MER0059,MER0059,,,,,False,
Spital,SPI,219900,spital,53.33995485,-2.993914447,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform",1,Spital,Spital,6,S,L,False,False,False,False,False,False,False,False,False,False,,3,,,True,False,Liverpool Central,,"['West Kirby Line', 'Chester Line', 'Ellesmere Port Line']",,few,West Kirby Line,single,True,MER0060,MER0060,,,,,False,
St Michaels,STM,224800,st-michaels,53.37561787,-2.952804749,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,St,Michaels,11,S,S,False,False,False,False,True,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Hunts Cross Line'],,single,Hunts Cross Line,multiple,False,MER0061,MER0061,,,,,False,
Town Green,TWN,228300,town-green,53.54282147,-2.904490485,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Town,Green,10,T,N,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Ormskirk Line'],,single,Ormskirk Line,multiple,False,MER0062,MER0062,,,,,False,
Wallasey Grove Road,WLG,215400,wallasey-grove-road,53.42801467,-3.069716325,ME,Merseyrail,5,2.0,Full Time,"B1, (refer to quick reference guide)",3,Wallasey,Road,19,W,D,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['New Brighton Line'],,single,New Brighton Line,multiple,True,MER0063,MER0063,,,,,False,
Wallasey Village,WLV,226500,wallasey-village,53.422896,-3.069136355,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform",2,Wallasey,Village,16,W,E,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['New Brighton Line'],,single,New Brighton Line,multiple,True,MER0064,MER0064,,,,,False,
Walton (Merseyside),WAO,225100,walton-merseyside,53.45622746,-2.965753228,ME,Merseyrail,5,2.0,Full Time,"B3, step-free access only to some platforms",2,Walton,(Merseyside),19,W,),False,False,False,False,False,False,False,False,False,False,,0,,,False,True,Liverpool Central,,[],,single,,multiple,False,MER0065,MER0065,,,,,False,
Waterloo (Merseyside),WLO,213300,waterloo-merseyside,53.47496593,-3.025543946,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Waterloo,(Merseyside),21,W,),False,False,False,False,False,False,False,False,False,False,,0,,,False,True,Liverpool Central,,[],,single,,multiple,False,MER0066,MER0066,,,,,False,
West Kirby,WKI,220100,west-kirby,53.37319127,-3.183769494,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,West,Kirby,10,W,Y,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['West Kirby Line'],,single,West Kirby Line,multiple,True,MER0067,MER0067,,,,,False,
