station_id,route_id,station_name,crs,operator,route,county,region,latitude,longitude,is_interchange,major_interchange,is_terminus1,branch_junction,is_junction,canonical_time_to_...,time_band,distance_from_..._km,distance_band,route_count,service_count,service_density,route_diversity_band,is_mainline,is_coastal,is_high_speed,distance_band,accessibility_score,difficulty_score,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,word_count_band
SO_0089,SO_R0089,Mitcham Eastfields,MTC,Southern,['Sutton & Metro'],Greater London,,51.40840457,-0.15396924,,FALSE,FALSE,FALSE,FALSE,31.5,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0090,SO_R0090,Mitcham Junction,MIJ,Southern,['Sutton & Metro'],Greater London,,51.39294461,-0.157322869,,FALSE,FALSE,FALSE,FALSE,36,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0091,SO_R0091,Moulsecoomb,MCB,Southern,['East Coastway'],,,50.84671673,-0.118840894,,FALSE,FALSE,FALSE,FALSE,22.5,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0092,SO_R0092,Newhaven Harbour,NVH,Southern,,,,50.78978441,0.054998379,,,TRUE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0093,SO_R0093,Newhaven Town,NVN,Southern,,,,50.79484885,0.054950925,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0094,SO_R0094,Norbury,NRB,Southern,['Sutton & Metro'],,,51.41144749,-0.121922189,,FALSE,FALSE,FALSE,FALSE,18,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0095,SO_R0095,Normans Bay,NSB,Southern,['East Coastway'],,,50.82609675,0.389476518,,FALSE,FALSE,FALSE,FALSE,63,60-120,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0096,SO_R0096,North Dulwich,NDL,Southern,,,,51.45451316,-0.087912394,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0097,SO_R0097,Nutbourne,NUT,Southern,,,,50.8460569,-0.882951949,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0098,SO_R0098,Nutfield,NUF,Southern,,,,51.22686567,-0.133758333,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0099,SO_R0099,Ockley,OLY,Southern,,,,51.15150662,-0.336003059,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0100,SO_R0100,Ore,ORE,Southern,,,,50.86694236,0.591574525,,,TRUE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0101,SO_R0101,Oxted,OXT,Southern,"['East Grinstead Branch', 'Uckfield Branch']",,,51.25790506,-0.004812996,,,TRUE,FALSE,FALSE,40,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0102,SO_R0102,Peckham Rye,PMR,Southern,,,,51.47003714,-0.069394247,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0103,SO_R0103,Penshurst,PHR,Southern,,,,51.19733253,0.173483045,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0104,SO_R0104,Pevensey & Westham,PEV,Southern,['East Coastway'],East Sussex,,50.81579197,0.324820485,,FALSE,FALSE,FALSE,FALSE,58.5,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0105,SO_R0105,Pevensey Bay,PEB,Southern,,,,50.81745345,0.342920162,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0106,SO_R0106,Plumpton,PMP,Southern,,,,50.9286601,-0.060178055,,,TRUE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0107,SO_R0107,Polegate,PLG,Southern,['East Coastway'],East Sussex,,50.82121828,0.245732124,,FALSE,TRUE,FALSE,FALSE,45,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0108,SO_R0108,Portslade,PLD,Southern,['West Coastway'],,,50.83567693,-0.205323859,,FALSE,FALSE,FALSE,FALSE,27,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0109,SO_R0109,Preston Park,PRP,Southern,['Brighton Main Line'],Brighton and Hove,,50.84593878,-0.155167744,,FALSE,FALSE,FALSE,FALSE,27,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0110,SO_R0110,Pulborough,PUL,Southern,,,,50.95734852,-0.516553376,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0111,SO_R0111,Purley,PUR,Southern,['Brighton Main Line'],England,,51.33739162,-0.113608701,,FALSE,TRUE,FALSE,FALSE,13.5,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0112,SO_R0112,Purley Oaks,PUO,Southern,,,,51.34704533,-0.098851969,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0113,SO_R0113,Queens Road (Peckham),QRP,Southern,,,,51.47406855,-0.057574233,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0114,SO_R0114,Redhill,RDH,Southern,['Brighton Main Line'],Surrey,,51.24019809,-0.165898311,,FALSE,TRUE,FALSE,FALSE,27,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0115,SO_R0115,Reedham (London),RHM,Southern,,,,51.33216069,-0.12387235,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0116,SO_R0116,Reigate,REI,Southern,,,,51.24195549,-0.203824541,,,TRUE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
