station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id
Darnall,DAN,Northern,,,53.38111164,-1.410652924,,,,,,,,,,,,,,,,NO_000127
Darton,DRT,Northern,,,53.58838039,-1.531651865,,,,,,,,,,,,,,,,NO_000128
Darwen,DWN,Northern,,,53.69804478,-2.464945018,,,,,,,,,,,,,,,,NO_000129
Davenport,DVN,Northern,,,53.39082838,-2.152579926,,,,,,,,,,,,,,,,NO_000130
Deansgate,DGT,Northern,,,53.47409585,-2.251066103,,,,,,,,,,,,,,,,NO_000131
Deighton,DHN,Northern,,,53.66885819,-1.75219726,,,,,,,,,,,,,,,,NO_000132
Delamere,DLM,Northern,,,53.2287892,-2.666559449,,,,,,,,,,,,,,,,NO_000133
Denby Dale,DBD,Northern,,,53.57264355,-1.663208663,,,,,,,,,,,,,,,,NO_000134
Dent,DNT,Northern,,,54.28241606,-2.363597216,,,,,,,,,,,,,,,,NO_000135
Denton,DTN,Northern,,,53.45692242,-2.130226303,,,,,,,,,,,,,,,,NO_000136
Dinsdale,DND,Northern,,,54.51473198,-1.467067384,,,,,,,,,,,,,,,,NO_000137
Dinting,DTG,Northern,,,53.44934927,-1.970306404,,,,,,,,,,,,,,,,NO_000138
Disley,DSL,Northern,,,53.35819889,-2.042476966,,,,,,,,,,,,,,,,NO_000139
Dodworth,DOD,Northern,,,53.54416241,-1.530932801,,,,,,,,,,,,,,,,NO_000140
Dore & Totley,DOR,Northern,,,53.32746933,-1.515445314,,,,,,,,,,,,,,,,NO_000141
Dove Holes,DVH,Northern,,,53.29981804,-1.890433778,,,,,,,,,,,,,,,,NO_000142
Driffield,DRF,Northern,,,54.00154161,-0.434671072,,,,,,,,,,,,,,,,NO_000143
Drigg,DRI,Northern,,,54.37696312,-3.443410921,,,,,,,,,,,,,,,,NO_000144
Dronfield,DRO,Northern,,,53.30139118,-1.46877279,,,,,,,,,,,,,,,,NO_000145
Dunston,DOT,Northern,,,54.95005031,-1.641034364,,,,,,,,,,,,,,,,NO_000146
Eaglescliffe,EAG,Northern,,,54.52943483,-1.349435972,,,,,,,,,,,,,,,,NO_000147
Earlestown,ERL,Northern,,,53.45114797,-2.637660072,,,,,,,,,,,,,,,,NO_000148
East Didsbury,EDY,Northern,,,53.40932638,-2.221996602,,,,,,,,,,,,,,,,NO_000149
East Garforth,EGF,Northern,,,53.7921293,-1.370310799,,,,,,,,,,,,,,,,NO_000150
Eastrington,EGN,Northern,,,53.75517708,-0.787632643,,,,,,,,,,,,,,,,NO_000151
Eccles (Manchester),ECC,Northern,,,53.48537002,-2.334517274,,,,,,,,,,,,,,,,NO_000152
Eccleston Park,ECL,Northern,,,53.43079708,-2.780042527,,,,,,,,,,,,,,,,NO_000153
Edale,EDL,Northern,,,53.3648068,-1.816330371,,,,,,,,,,,,,,,,NO_000154
Edge Hill,EDG,Northern,,,53.40262667,-2.946488903,,,,,,,,,,,,,,,,NO_000155
Egton,EGT,Northern,,,54.43767437,-0.761919873,,,,,,,,,,,,,,,,NO_000156
Elsecar,ELR,Northern,,,53.49867791,-1.427415692,,,,,,,,,,,,,,,,NO_000157
