crs,terminus
BEE,BHM|BMH|CDF|CLE|CRE|DBY|GCR|LCN|LEI|MAT|NOT|NRW|STP
BEF,FST|LES|SOC|SRY
BEG,GLM|PDW|SOO|TON
BEH,LMS|NUN
BEJ,ASL|NCL
BEL,ARD|DIN|IGD|INV|KYL|TAI|WCK
BEM,HUL|SCA|SHF|YRK
BEN,LAN|LDS|MCM|SKI
BEO,BEO|NTH|YST
BEP,LMS|NUN
BER,LMS|MYB|SAV|WOF
BES,MCO|MCV|SOP
BET,BIS|BTR|CBG|CET|CHI|CHN|CLT|CMB|COL|ELY|ENF|GDP|HFE|HPQ|HWC|IPS|LST|NRW|SMN|SNF|SOV|SSD|WTM
BEU,BMH|BSK|NEM|POO|WEY|WIN
BEV,BDT|BEV|HUL|KGX|SCA|SHF|YRK
BEX,AFK|BAK|BAL|BTN|EBN|HGS|HHE|ORE|PLG
BEY,BDQ|ILK|LDS
BFA,BFA|CRP
BFD,ASN|CHY|HOU|OXP|QRB|SFR|TWI|WOK|WYB
BFE,GSL|PLY
BFF,BFF|CFS|LLD|PTM
BFN,AHT|AON|BAL|BNS|BSK|EAD|GLD|NEM|PMH|QRB|SFR|SOU|WOK
BFR,BDM|BFR|BKJ|BTN|CBG|EGR|EPH|FPK|GLM|GTW|HNH|HRH|KTN|LUT|MDE|ORP|PBO|RAI|RTR|SAC|SEV|SUO|TBD|WGC|WHP
BGA,GYM|LWT|NRW
BGD,BGD|BGN|BYI|CDF|PEN|RHY
BGE,BPN|LIV|MCV|MIA|PRE|WGN
BGG,CLE|SHF
BGH,BDI|BGH|HBD|HFX|HUD|KGX|LDS
BGI,CRS|DMR|MTH|WFF
BGL,NQY|PAR
BGM,BFR|CBW|DVP|FKW|FPK|GLM|KTN|LUT|MDE|ORP|RTR|SEV|WGC|WHP|XVJ
BGN,BGN|BPW|CDF|CMN|EBB|FGH|MAN|MFH|MST|PAD|PMD|RHY|SWA
BGS,GLC|GRK
BGV,BGV|GPO
BHC,ADR|BHC|DMR|SPR
BHD,BGN|BYI|CDF|PEN|RHY
BHG,ADR|BHG|EDB|FTW|GRS|HLC|MLN
BHI,AYW|BHI|BHM|BMH|COV|CRE|CTR|EDB|EUS|GLC|HHD|INV|LIV|LLJ|MAN|MKC|NMP|RDG|RGL|SHR|SOU|WSL|WVH
BHK,ENF|LST
BHM,ABD|AYW|BHI|BHM|BMH|BMV|BRI|CBG|CDF|COV|CRE|CTR|EDB|EUS|FOK|GCR|GLC|GMV|HFD|HHD|KNN|LDS|LEI|LIC|LIF|LIV|LLJ|LOB|MAN|MKC|NCL|NMP|NOT|NWP|PGN|PLY|PNZ|RDC|RDG|RGL|SHR|SOU|SSD|WOF|WOS|WSL|WVH|YRK
BHO,BGV|GPO
BHR,LLE|SHR|SWA
BHS,HUD|SHF
BIA,BIA|SLB
BIB,BIB|SLO
BIC,LST|SMN|SOV
BID,BID|WKI|WRX|WXC
BIF,BIF|CKL|LAN|MIA|MLM|PRE
BIG,BAL|BOG|CCH|GTW|HRH|PMH|PMS|WSW|XSU
BIK,BIK|XSU
BIL,CAR|GTA|MBR|NCL|NNT|WTB
BIN,BSN|DBY|GRA|LIV|MAN|NOT|NRW|PBO|SHF|SKG
BIO,CRS|DMR|MTH|WFF
BIP,BTN|LWS|SEF
BIS,BIS|CBG|CMB|ELY|LST|SRA|SSD|TOM
BIT,BAN|HWY|MYB|OXF|STA|XFB
BIW,ABD|BDI|BDQ|BEV|DON|EDB|GLQ|HGT|HRH|HUL|INV|KGX|LCN|LDS|MBR|NCL|PBO|SKI|SUN|YRK
BIY,BDQ|CAR|LAN|LDS|MCM|RHD|SKI
BKA,EAD|GLD|RAY
BKC,BKQ|CTR|ELP|XLV
BKD,BHM|BSW|CDF|DDG|KID|LMS|SAV|WOF|WOS|WTE
BKG,BGV|BKG|FST|GPO|GRY|LAI|LES|PSE|SFO|SOC|SRY
BKH,CHX|CST|DFD|GLM|GRV|MDW|RAI|RTR|WHP|XVJ
BKJ,AFK|BFR|BKJ|CHX|DVP|FAV|GLM|ORP|RAM|TBW|XVJ
BKL,AFK|BFR|BKL|CHX|FPK|KTN|LUT|ORP|RAM|SEV|TBW|WGC|WHP|XVJ
BKM,BHM|BLY|EUS|MKC|NMP|TRI
BKN,NBN|WKI
BKO,AON|BSK|HOV|NEM|PMH|QRB|SOU|WOK
BKP,NBN|WKI
BKQ,BKQ|CTR|ELP|NBN|WKI|XLV
BKR,ADR|BHG|EDB|GRS|HLC|MLN
BKS,DVP|FAV|XVJ
BKT,BHM|BMV|LIC|LIF|LOB
BKW,BHM|BMH|COV|CRE|EDB|EUS|GLC|INV|LIV|MAN|MKC|NMP|RDG|SOU|WSL|WVH
BLA,DEE|EDB|EUS|GLQ|INV|KGX|KIN
BLB,LST|SMN|WIC
BLD,BDQ|ILK
BLE,HFX|HUL|LDS|RCD
BLG,ADR|BHC|BHG|EDB|FTW|GLQ|GRS|HLC|MLN|OBN|SPR
BLH,CRS|EDB|GLC|GRS|LNK|MTH
BLI,ASL|NCL
BLK,BIF|BPN|MIA
BLL,CAR|HPL|MBR|NCL
BLM,BAK|EPD|WCY
BLN,LVC|SOP
BLO,CAR|HEX|HPL|LGK|MBR|MPT|NCL|NNT|PRU
BLP,CLE|DBY|LCN|MAT|NOT|SHF|STP
BLS,TAU|XBV
BLT,CUB|DMR|GRS|LRH|MLN|MTH
BLU,STA|XFB
BLV,CLY|MAN|NMC|SHF
