station_id,station_name,crs,operator,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_branch_line,is_mainline,is_coastal,word_count_band,is_interchange,is_terminus,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band,route,county
,Dorking West,DKT,Southern,,,,BAL|GTW|RDG|RDH|RDZ,False,,,,,,,,,,,,,,,,,60.0,,,,['Arun Valley'],Arun Valley,False,True,False,multiple,False,False,SR028,60.0,,False,commuter,,
,Dormans,DMS,Southern,,,,BAK|BAL|BDM|EGR|WHP|WSW|XSU,False,,,,,,,,,,,,,,,,,55.0,,,,['East Grinstead Branch'],East Grinstead Branch,True,False,False,single,False,False,SR029,55.0,,False,commuter,,
,Dunton Green,DNG,Southern,51.296425,0.171616,False,AFK|CHX|CST|HGS|SEV|TBW,False,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,False,False,SR020,31.5,30-60,False,outer,,Kent
SO_000043,Durrington-on-Sea,DUR,Southern,50.817463,-0.411463,False,BAL|BOG|BTN|CCH|HHE|LIT|PMH|PMS|SOU|WSW|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR021,31.5,30-60,False,outer,,
SO_000044,Earlswood,ELD,Southern,51.227631,-0.171078,False,BAK|BAL|BDM|BOG|BTN|CBG|CCH|EBN|GTW|HGS|HRH|LIT|LUT|ORE|PBO|PMH|PMS|RDG|RDH|RDZ|TBD|WRH|WSW|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR022,22.5,0-30,False,outer,,Surrey
SO_000045,East Croydon,ECR,Southern,51.375679,-0.093335,False,BAK|BAL|BDM|BOG|BTN|CAT|CBG|CCH|EBN|ECR|EGR|GTW|HGS|HRH|LIT|LUT|ORE|OXT|PBO|PMH|PMS|REI|TBD|UCK|WFJ|WHP|WRH|WSW|XSU,True,,,,,,,,,,,,,1.0,1.0,low,few,4.5,0-30,2.0,8.0,"['Brighton Main Line', 'East Grinstead Branch', 'Uckfield Branch']",Brighton Main Line,True,False,False,multiple,False,False,SR023,4.5,0-30,False,inner,,Greater London
,East Grinstead,EGR,Southern,,,,BAK|BAL|BDM|EGR|WHP|WSW|XSU,False,,,,,,,,,,,,,,,,,60.0,,,,['East Grinstead Branch'],East Grinstead Branch,True,False,False,multiple,False,False,SR034,60.0,,False,commuter,,
,East Worthing,EWR,Southern,,,,BAL|BOG|BTN|CCH|HAV|LIT|PMH|PMS|SOU|WRH|WSW|WWO,False,,,,,,,,,,,,,,,,,65.0,,,,['West Coastway'],West Coastway,False,True,True,multiple,False,False,SR035,65.0,,False,regional,,
SO_000049,Eastbourne,EBN,Southern,50.769085,0.281847,False,AFK|BAK|BAL|BTN|EBN|HGS|HHE|ORE|PLG|WSW|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,54.0,30-60,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR024,54.0,30-60,False,commuter,,East Sussex
,Edenbridge Town,EBT,Southern,,,,COH|UCK|XSU,False,,,,,,,,,,,,,,,,,70.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,multiple,False,False,SR037,70.0,,False,regional,,
SO_000052,Emsworth,EMS,Southern,50.851326,-0.938784,False,BAL|BOG|BTN|GTW|HAV|HOV|HRH|LIT|PMH|PMS|SOU|WSW,False,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR025,36.0,30-60,False,outer,,
,Eridge,ERI,Southern,,,,UCK|XSU,False,,,,,,,,,,,,,,,,,70.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR039,70.0,,False,regional,,
,Etchingham,ETC,Southern,51.010479,0.441935,False,CHX|CST|HGS|TON,False,,,,,,,,,,,,,1.0,1.0,low,few,72.0,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR026,72.0,60-120,False,regional,,
,Eynsford,EYN,Southern,51.362377,0.203465,False,BFR|CHX|FPK|SEV|WGC|XVJ,False,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,single,False,False,SR027,13.5,0-30,False,inner,,West Sussex
SO_000057,Falmer,FMR,Southern,50.862064,-0.087364,False,BTN|EBN|HGS|LWS|NVH|ORE|SEF,False,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR028,27.0,0-30,False,outer,,
,Fareham,FRM,Southern,50.853352,-1.19162,False,BRI|BTN|CDF|ESL|FRM|HOV|HRH|LIT|NEM|PMH|PMS|SOU|WIN|WOK|WSB,False,,,,,,,,,,,,,1.0,1.0,low,few,63.0,60-120,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,single,False,False,SR029,63.0,60-120,False,regional,,Hampshire
,Farningham Road,FNR,Southern,51.401337,0.235533,False,CST|DVP|GLM|RAM|XVJ,False,,,,,,,,,,,,,1.0,1.0,low,few,9.0,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,False,False,SR030,9.0,0-30,False,inner,,
,Farringdon,ZFD,Southern,,,,BDM|BFR|BTN|CBG|EGR|EPH|FPK|GLM|GTW|HNH|HRH|KTN|LUT|ORP|PBO|RAI|SAC|SEV|SUO|TBD|WGC|WHP,False,,,,,,,,,,,,,,,,,0.0,,,,"['Thameslink Core', 'Southern Thameslink Branches']",Thameslink Core,False,True,False,single,False,False,SR045,0.0,,False,inner,,
SO_000059,Fishbourne,FSB,Southern,50.839352,-0.815495,False,BTN|HRH|LIT|PMH|PMS|SOU|WSW,False,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR031,36.0,30-60,False,outer,,West Sussex
SO_000061,Ford,FOD,Southern,50.829506,-0.578611,False,BAL|BOG|BTN|CCH|GTW|HAV|HOV|HRH|LIT|PMH|PMS|SOU|WSW|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,"['West Coastway', 'Arun Valley']",West Coastway,False,True,True,single,False,False,SR032,31.5,30-60,False,outer,,West Sussex
