station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_branch_line,is_mainline,is_coastal,word_count_band,is_interchange,is_terminus,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band
SR039,Eridge,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR039,70.0,,False,regional
SR026,Etchingham,ETC,,,,51.010479,0.441935,False,,,,,,,,,,,,,,,1.0,1.0,low,few,72.0,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR026,72.0,60-120,False,regional
SR027,Eynsford,EYN,,,,51.362377,0.203465,False,,,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,single,False,False,SR027,13.5,0-30,False,inner
SR028,Falmer,FMR,,,,50.862064,-0.087364,False,,,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR028,27.0,0-30,False,outer
SR029,Fareham,FRM,,,,50.853352,-1.19162,False,,,,,,,,,,,,,,,1.0,1.0,low,few,63.0,60-120,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,single,False,False,SR029,63.0,60-120,False,regional
SR030,Farningham Road,FNR,,,,51.401337,0.235533,False,,,,,,,,,,,,,,,1.0,1.0,low,few,9.0,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,False,False,SR030,9.0,0-30,False,inner
SR045,Farringdon,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,"['Thameslink Core', 'Southern Thameslink Branches']",Thameslink Core,False,True,False,single,False,False,SR045,0.0,,False,inner
SR031,Fishbourne,FSB,,,,50.839352,-0.815495,False,,,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR031,36.0,30-60,False,outer
SR032,Ford,FOD,,,,50.829506,-0.578611,False,,,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,"['West Coastway', 'Arun Valley']",West Coastway,False,True,True,single,False,False,SR032,31.5,30-60,False,outer
SR033,Frant,FRT,,,,51.104321,0.294034,False,,,,,,,,,,,,,,,1.0,1.0,low,few,58.5,30-60,2.0,8.0,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR033,58.5,30-60,False,commuter
