station_name,crs,operator,route_groups,county,latitude,longitude,is_interchange,is_terminus,major_interchange,branch_junction,canonical_time_to_london,time_band,station_id,route_count,service_count,service_density,route_diversity_band,,is_branch_line,is_mainline,is_coastal,route_station_id,is_high_speed,distance_band,accessibility_score,difficulty_score,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,word_count_band
Crawley,CRW,Southern,,,51.1122072,-0.186672649,,FALSE,,,,,SO_000038,1,1,low,single,,FALSE,TRUE,FALSE,SO_000038,FALSE,,,,,,,,,,,,,,,,single
Crowborough,COH,Southern,['Uckfield Branch'],,51.04638117,0.188023149,,TRUE,,False,60,,SO_000039,1,1,low,single,,FALSE,TRUE,FALSE,SO_000039,FALSE,,,,,,,,,,,,,,,,single
Doleham,DLH,Southern,,,50.9187472,0.610702875,,FALSE,,,,,SO_000040,1,1,low,single,,FALSE,TRUE,FALSE,SO_000040,FALSE,,,,,,,,,,,,,,,,single
Dorking (Main),DKG,Southern,['Arun Valley'],,51.240927,-0.32423924,,TRUE,,False,55,,SO_000041,1,1,low,single,,FALSE,TRUE,FALSE,SO_000041,FALSE,,,,,,,,,,,,,,,,multiple
Dormans,DMS,Southern,['East Grinstead Branch'],,51.15578598,-0.004302625,,FALSE,,False,55,,SO_000042,1,1,low,single,,FALSE,TRUE,FALSE,SO_000042,FALSE,,,,,,,,,,,,,,,,single
Durrington-on-Sea,DUR,Southern,['West Coastway'],,50.81752228,-0.411461916,,FALSE,False,False,31.5,30-60,SO_000043,1,1,low,single,,FALSE,TRUE,FALSE,SO_000043,FALSE,,,,,,,,,,,,,,,,single
Earlswood Surrey,ELD,Southern,['Brighton Main Line'],Surrey,51.22732507,-0.170821639,,FALSE,False,False,22.5,0-30,SO_000044,1,1,low,single,,FALSE,TRUE,FALSE,SO_000044,FALSE,,,,,,,,,,,,,,,,multiple
East Croydon ,ECR,Southern,"['Brighton Main Line', 'East Grinstead Branch', 'Uckfield Branch']",Greater London,51.37500564,-0.092276539,,TRUE,False,True,4.5,0-30,SO_000045,1,1,low,single,,FALSE,TRUE,FALSE,SO_000045,FALSE,,,,,,,,,,,,,,,,multiple
East Dulwich,EDW,Southern,,,51.46132011,-0.080717696,,FALSE,,,,,SO_000046,1,1,low,single,,FALSE,TRUE,FALSE,SO_000046,FALSE,,,,,,,,,,,,,,,,multiple
East Grinstead,EGR,Southern,['East Grinstead Branch'],,51.12626697,-0.017895018,,TRUE,,False,60,,SO_000047,1,1,low,single,,FALSE,TRUE,FALSE,SO_000047,FALSE,,,,,,,,,,,,,,,,multiple
East Worthing,EWR,Southern,['West Coastway'],,50.82163957,-0.354885361,,FALSE,,False,65,,SO_000048,1,1,low,single,,FALSE,TRUE,FALSE,SO_000048,FALSE,,,,,,,,,,,,,,,,multiple
Eastbourne,EBN,Southern,['East Coastway'],East Sussex,50.76936955,0.281258504,,TRUE,False,False,54,30-60,SO_000049,1,1,low,single,,FALSE,TRUE,FALSE,SO_000049,FALSE,,,,,,,,,,,,,,,,single
Edenbridge (Kent),EBR,Southern,,,51.20843113,0.060654046,,FALSE,,,,,SO_000050,1,1,low,single,,FALSE,TRUE,FALSE,SO_000050,FALSE,,,,,,,,,,,,,,,,multiple
Edenbridge Town,EBT,Southern,['Uckfield Branch'],,51.20007799,0.067180931,,FALSE,,False,70,,SO_000051,1,1,low,single,,FALSE,TRUE,FALSE,SO_000051,FALSE,,,,,,,,,,,,,,,,multiple
Emsworth,EMS,Southern,['West Coastway'],,50.85138028,-0.93878361,,FALSE,False,False,36,30-60,SO_000052,1,1,low,single,,FALSE,TRUE,FALSE,SO_000052,FALSE,,,,,,,,,,,,,,,,single
Epsom (Surrey),EPS,Southern,,,51.3343926,-0.268778341,,TRUE,,,,,SO_000053,1,1,low,single,,FALSE,TRUE,FALSE,SO_000053,FALSE,,,,,,,,,,,,,,,,multiple
Epsom Downs,EPD,Southern,,,51.323687,-0.238954739,,TRUE,,,,,SO_000054,1,1,low,single,,FALSE,TRUE,FALSE,SO_000054,FALSE,,,,,,,,,,,,,,,,multiple
Eridge,ERI,Southern,['Uckfield Branch'],,51.08895742,0.201442672,,FALSE,,False,70,,SO_000055,1,1,low,single,,FALSE,TRUE,FALSE,SO_000055,FALSE,,,,,,,,,,,,,,,,single
Ewell East,EWE,Southern,,,51.34529966,-0.241529469,,FALSE,,,,,SO_000056,1,1,low,single,,FALSE,TRUE,FALSE,SO_000056,FALSE,,,,,,,,,,,,,,,,multiple
Falmer,FMR,Southern,['East Coastway'],,50.86212415,-0.087383616,,FALSE,False,False,27,0-30,SO_000057,1,1,low,single,,FALSE,TRUE,FALSE,SO_000057,FALSE,,,,,,,,,,,,,,,,single
Faygate,FGT,Southern,,,51.09588376,-0.26302061,,FALSE,,,,,SO_000058,1,1,low,single,,FALSE,TRUE,FALSE,SO_000058,FALSE,,,,,,,,,,,,,,,,single
Fishbourne (Sussex),FSB,Southern,['West Coastway'],West Sussex,50.83903838,-0.815088781,,FALSE,False,False,36,30-60,SO_000059,1,1,low,single,,FALSE,TRUE,FALSE,SO_000059,FALSE,,,,,,,,,,,,,,,,multiple
Fishersgate,FSG,Southern,,,50.83422898,-0.219411,,FALSE,,,,,SO_000060,1,1,low,single,,FALSE,TRUE,FALSE,SO_000060,FALSE,,,,,,,,,,,,,,,,single
Ford,FOD,Southern,"['West Coastway', 'Arun Valley']",West Sussex,50.82956237,-0.578615542,,FALSE,False,False,31.5,30-60,SO_000061,1,1,low,single,,FALSE,TRUE,FALSE,SO_000061,FALSE,,,,,,,,,,,,,,,,single
Gipsy Hill,GIP,Southern,,,51.42445509,-0.083830832,,FALSE,,,,,SO_000062,1,1,low,single,,FALSE,TRUE,FALSE,SO_000062,FALSE,,,,,,,,,,,,,,,,multiple
Glynde,GLY,Southern,['East Coastway'],,50.85916668,0.07008355,,FALSE,False,False,36,30-60,SO_000063,1,1,low,single,,FALSE,TRUE,FALSE,SO_000063,FALSE,,,,,,,,,,,,,,,,single
Godstone,GDN,Southern,,,51.21815351,-0.050080252,,FALSE,,,,,SO_000064,1,1,low,single,,FALSE,TRUE,FALSE,SO_000064,FALSE,,,,,,,,,,,,,,,,single
Goring-by-Sea,GBS,Southern,['West Coastway'],West Sussex,50.8177157,-0.433076924,,FALSE,False,False,36,30-60,SO_000065,1,1,low,single,,FALSE,TRUE,FALSE,SO_000065,FALSE,,,,,,,,,,,,,,,,single
Hackbridge,HCB,Southern,['Sutton & Metro'],England,51.37787262,-0.153904728,,FALSE,False,False,40.5,30-60,SO_000066,1,1,low,single,,FALSE,TRUE,FALSE,SO_000066,FALSE,,,,,,,,,,,,,,,,single
Ham Street,HMT,Southern,,,51.0683774,0.854521617,,FALSE,,,,,SO_000067,1,1,low,single,,FALSE,TRUE,FALSE,SO_000067,FALSE,,,,,,,,,,,,,,,,multiple
Hampden Park (Sussex),HMD,Southern,['East Coastway'],East Sussex,50.79639828,0.27936748,,FALSE,False,False,49.5,30-60,SO_000068,1,1,low,single,,FALSE,TRUE,FALSE,SO_000068,FALSE,,,,,,,,,,,,,,,,multiple
Hassocks,HSK,Southern,['Brighton Main Line'],West Sussex,50.92461282,-0.145952423,,FALSE,False,False,27,0-30,SO_000069,1,1,low,single,,FALSE,TRUE,FALSE,SO_000069,FALSE,,,,,,,,,,,,,,,,single
Haywards Heath,HHE,Southern,['Brighton Main Line'],West Sussex,51.00525294,-0.105306765,,TRUE,False,True,13.5,0-30,SO_000070,1,1,low,single,,FALSE,TRUE,FALSE,SO_000070,FALSE,,,,,,,,,,,,,,,,multiple
Hever,HEV,Southern,['Uckfield Branch'],,51.18140581,0.0950779,,FALSE,,False,65,,SO_000071,1,1,low,single,,FALSE,TRUE,FALSE,SO_000071,FALSE,,,,,,,,,,,,,,,,single
Holmwood,HLM,Southern,['Arun Valley'],,51.18099754,-0.321090928,,FALSE,,False,70,,SO_000072,1,1,low,single,,FALSE,TRUE,FALSE,SO_000072,FALSE,,,,,,,,,,,,,,,,single
Horley,HOR,Southern,['Brighton Main Line'],Surrey,51.16877025,-0.161052239,,TRUE,False,False,13.5,0-30,SO_000073,1,1,low,single,,FALSE,TRUE,FALSE,SO_000073,FALSE,,,,,,,,,,,,,,,,single
Horsham,HRH,Southern,['Arun Valley'],,51.06605718,-0.319258917,,TRUE,,False,55,,SO_000074,1,1,low,single,,FALSE,TRUE,FALSE,SO_000074,FALSE,,,,,,,,,,,,,,,,single
Hove,HOV,Southern,['West Coastway'],Brighton and Hove,50.8352109,-0.170687991,,TRUE,False,False,22.5,0-30,SO_000075,1,1,low,single,,FALSE,TRUE,FALSE,SO_000075,FALSE,,,,,,,,,,,,,,,,single
Hurst Green,HUR,Southern,,,51.24442735,0.003945749,,FALSE,,,,,SO_000076,1,1,low,single,,FALSE,TRUE,FALSE,SO_000076,FALSE,,,,,,,,,,,,,,,,multiple
Ifield,IFI,Southern,,,51.11561646,-0.214772632,,FALSE,,,,,SO_000077,1,1,low,single,,FALSE,TRUE,FALSE,SO_000077,FALSE,,,,,,,,,,,,,,,,single
Kenley,KLY,Southern,,,51.32460105,-0.101215735,,FALSE,,,,,SO_000078,1,1,low,single,,FALSE,TRUE,FALSE,SO_000078,FALSE,,,,,,,,,,,,,,,,single
Kingswood,KND,Southern,,,51.29486144,-0.211456639,,FALSE,,,,,SO_000079,1,1,low,single,,FALSE,TRUE,FALSE,SO_000079,FALSE,,,,,,,,,,,,,,,,single
Lancing,LAC,Southern,['West Coastway'],West Sussex,50.82707775,-0.323099956,,FALSE,False,False,27,0-30,SO_000080,1,1,low,single,,FALSE,TRUE,FALSE,SO_000080,FALSE,,,,,,,,,,,,,,,,single
Leatherhead,LHD,Southern,,,51.29875147,-0.333064888,,FALSE,,,,,SO_000081,1,1,low,single,,FALSE,TRUE,FALSE,SO_000081,FALSE,,,,,,,,,,,,,,,,single
Leigh (Kent),LIH,Southern,,,51.19389559,0.210506799,,FALSE,,,,,SO_000082,1,1,low,single,,FALSE,TRUE,FALSE,SO_000082,FALSE,,,,,,,,,,,,,,,,multiple
Lewes,LWS,Southern,['East Coastway'],East Sussex,50.87062711,0.011335211,,TRUE,False,False,31.5,30-60,SO_000083,1,1,low,single,,FALSE,TRUE,FALSE,SO_000083,FALSE,,,,,,,,,,,,,,,,single
Lingfield,LFD,Southern,['East Grinstead Branch'],,51.17644755,-0.007158941,,FALSE,,False,50,,SO_000084,1,1,low,single,,FALSE,TRUE,FALSE,SO_000084,FALSE,,,,,,,,,,,,,,,,single
Littlehampton,LIT,Southern,['West Coastway'],West Sussex,50.81010344,-0.545991819,,TRUE,False,False,36,30-60,SO_000085,1,1,low,single,,FALSE,TRUE,FALSE,SO_000085,FALSE,,,,,,,,,,,,,,,,single
Littlehaven,LVN,Southern,,,51.0797438,-0.307969555,,FALSE,,,,,SO_000086,1,1,low,single,,FALSE,TRUE,FALSE,SO_000086,FALSE,,,,,,,,,,,,,,,,single
London Road (Brighton),LRB,Southern,['Brighton Main Line'],Brighton and Hove,50.83665742,-0.136501977,,FALSE,False,False,22.5,0-30,SO_000087,1,1,low,single,,FALSE,TRUE,FALSE,SO_000087,FALSE,,,,,,,,,,,,,,,,multiple
Merstham,MHM,Southern,['Brighton Main Line'],Surrey,51.26415181,-0.150223451,,FALSE,False,False,22.5,0-30,SO_000088,1,1,low,single,,FALSE,TRUE,FALSE,SO_000088,FALSE,,,,,,,,,,,,,,,,single
Mitcham Eastfields,MTC,Southern,['Sutton & Metro'],Greater London,51.40840457,-0.15396924,,FALSE,False,False,31.5,30-60,SO_000089,1,1,low,single,,FALSE,TRUE,FALSE,SO_000089,FALSE,,,,,,,,,,,,,,,,multiple
Mitcham Junction,MIJ,Southern,['Sutton & Metro'],Greater London,51.39294461,-0.157322869,,FALSE,False,False,36,30-60,SO_000090,1,1,low,single,,FALSE,TRUE,FALSE,SO_000090,FALSE,,,,,,,,,,,,,,,,multiple
Moulsecoomb,MCB,Southern,['East Coastway'],,50.84671673,-0.118840894,,FALSE,False,False,22.5,0-30,SO_000091,1,1,low,single,,FALSE,TRUE,FALSE,SO_000091,FALSE,,,,,,,,,,,,,,,,single
Newhaven Harbour,NVH,Southern,,,50.78978441,0.054998379,,TRUE,,,,,SO_000092,1,1,low,single,,FALSE,TRUE,FALSE,SO_000092,FALSE,,,,,,,,,,,,,,,,multiple
Newhaven Town,NVN,Southern,,,50.79484885,0.054950925,,FALSE,,,,,SO_000093,1,1,low,single,,FALSE,TRUE,FALSE,SO_000093,FALSE,,,,,,,,,,,,,,,,multiple
Norbury,NRB,Southern,['Sutton & Metro'],,51.41144749,-0.121922189,,FALSE,False,False,18,0-30,SO_000094,1,1,low,single,,FALSE,TRUE,FALSE,SO_000094,FALSE,,,,,,,,,,,,,,,,single
Normans Bay,NSB,Southern,['East Coastway'],,50.82609675,0.389476518,,FALSE,False,False,63,60-120,SO_000095,1,1,low,single,,FALSE,TRUE,FALSE,SO_000095,FALSE,,,,,,,,,,,,,,,,multiple
North Dulwich,NDL,Southern,,,51.45451316,-0.087912394,,FALSE,,,,,SO_000096,1,1,low,single,,FALSE,TRUE,FALSE,SO_000096,FALSE,,,,,,,,,,,,,,,,multiple
