station_id,network,route_station_id,crs,station_name,route_group
SCR094,Scotrail,SC0094,CPA,Corpach,
SCR095,Scotrail,SC0095,CRR,Corrour,
SCR096,Scotrail,SC0096,COW,Cowdenbeath,
SCR097,Scotrail,SC0097,CGD,Craigendoran,
SCR098,Scotrail,SC0098,CNR,Crianlarich,
SCR099,Scotrail,SC0099,CFF,Croftfoot,
SCR100,Scotrail,SC0100,CKT,Crookston,
SCR101,Scotrail,SC0101,COI,Crosshill,
SCR102,Scotrail,SC0102,CMY,Crossmyloof,
SCR103,Scotrail,SC0103,CRO,Croy,
SCR104,Scotrail,SC0104,CUA,Culrain,
SCR105,Scotrail,SC0105,CUB,Cumbernauld,
SCR106,Scotrail,SC0106,CUP,Cupar,
SCR107,Scotrail,SC0107,CUH,Curriehill,
SCR108,Scotrail,SC0108,DAG,Dalgety Bay,
SCR109,Scotrail,SC0109,DAL,Dalmally,
SCR110,Scotrail,SC0110,DAK,Dalmarnock,
SCR111,Scotrail,SC0111,DAM,Dalmeny,
SCR112,Scotrail,SC0112,DMR,Dalmuir,
SCR113,Scotrail,SC0113,DLR,Dalreoch,
SCR114,Scotrail,SC0114,DLY,Dalry,
SCR115,Scotrail,SC0115,DLW,Dalwhinnie,
SCR116,Scotrail,SC0116,DIN,Dingwall,
SCR117,Scotrail,SC0117,DRM,Drem,
SCR118,Scotrail,SC0118,DMC,Drumchapel,
SCR119,Scotrail,SC0119,DFR,Drumfrochar,
SCR120,Scotrail,SC0120,DRU,Drumgelloch,
SCR121,Scotrail,SC0121,DMY,Drumry,
SCR122,Scotrail,SC0122,DRN,Duirinish,
SCR123,Scotrail,SC0123,DST,Duke Street,
SCR124,Scotrail,SC0124,DBC,Dumbarton Central,
SCR125,Scotrail,SC0125,DBE,Dumbarton East,
SCR126,Scotrail,SC0126,DUM,Dumbreck,
SCR127,Scotrail,SC0127,DMF,Dumfries,
SCR128,Scotrail,SC0128,DUN,Dunbar,
SCR129,Scotrail,SC0129,DBL,Dunblane,
SCR130,Scotrail,SC0130,DCG,Duncraig,
SCR131,Scotrail,SC0131,DEE,Dundee,
SCR132,Scotrail,SC0132,DFE,Dunfermline City,
SCR133,Scotrail,SC0133,DFL,Dunfermline Queen Margaret,
SCR134,Scotrail,SC0134,DKD,Dunkeld & Birnam,
SCR135,Scotrail,SC0135,DNL,Dunlop,
SCR136,Scotrail,SC0136,DNO,Dunrobin Castle,
SCR137,Scotrail,SC0137,DYC,Dyce,
SCR138,Scotrail,SC0138,EKL,East Kilbride,
SCR139,Scotrail,SC0139,ELT,East Linton,
