route_id,pattern_id
R00103,SP003779
R00103,SP003792
R00103,SP003796
R00103,SP003893
R00103,SP003897
R00103,SP003902
R00103,SP004316
R00104,SP000263
R00104,SP004436
R00105,SP000264
R00105,SP003653
R00106,SP000267
R00106,SP000268
R00106,SP001952
R00106,SP002087
R00106,SP004448
R00107,SP000269
R00107,SP004454
R00108,SP000271
R00108,SP003581
R00109,SP000272
R00109,SP001468
R00109,SP001470
R00109,SP001477
R00109,SP001485
R00109,SP001508
R00109,SP001520
R00109,SP004104
R00110,SP000273
R00110,SP000760
R00110,SP000784
R00110,SP001141
R00110,SP001144
R00110,SP001661
R00111,SP000276
R00111,SP002689
R00111,SP004329
R00112,SP000279
R00112,SP003964
R00113,SP000282
R00113,SP000294
R00114,SP000283
R00114,SP000285
R00114,SP000296
R00114,SP000303
R00115,SP000286
R00115,SP000639
R00115,SP000945
R00115,SP000971
R00115,SP001001
R00115,SP001002
R00115,SP001005
R00115,SP001015
R00115,SP001077
R00115,SP001083
R00115,SP001092
R00115,SP001239
R00115,SP001241
R00115,SP001255
R00115,SP001291
R00115,SP001295
R00115,SP002276
R00115,SP002965
R00115,SP002980
R00115,SP002983
R00115,SP002986
R00115,SP002991
R00115,SP002992
R00115,SP002995
R00115,SP003006
R00115,SP003014
R00115,SP003026
R00115,SP003130
R00115,SP003179
R00115,SP003294
R00115,SP003298
R00115,SP003675
R00115,SP003677
R00115,SP003756
R00115,SP004020
R00115,SP004086
R00116,SP000290
R00116,SP002233
R00116,SP003696
R00117,SP000293
R00117,SP000299
R00117,SP000301
R00117,SP000740
R00117,SP000759
R00117,SP003670
R00117,SP004097
R00117,SP004229
R00117,SP004426
R00117,SP004526
R00118,SP000295
R00118,SP001251
R00119,SP000307
R00119,SP000723
R00119,SP002963
R00119,SP003236
R00120,SP000309
R00120,SP002550
R00120,SP002558
R00121,SP000315
R00121,SP000573
R00121,SP000575
R00121,SP001121
R00121,SP001499
R00121,SP001501
R00121,SP001504
R00121,SP002023
R00121,SP002028
R00121,SP002033
R00121,SP003303
R00121,SP003549
R00121,SP003599
R00121,SP003991
R00121,SP003992
R00121,SP003994
R00121,SP003996
R00121,SP004155
R00121,SP004339
R00121,SP004341
R00122,SP000316
R00122,SP000320
R00122,SP000330
R00122,SP001763
R00122,SP003161
R00123,SP000318
R00123,SP001209
R00123,SP001352
R00124,SP000319
R00124,SP000718
R00124,SP000783
R00124,SP000787
R00124,SP000791
R00124,SP004605
R00124,SP004613
R00125,SP000321
R00125,SP000323
R00125,SP000327
R00125,SP000329
R00125,SP001108
R00125,SP001109
R00125,SP001118
R00125,SP002466
R00126,SP000324
R00126,SP000438
R00127,SP000333
R00127,SP000666
R00127,SP000688
R00127,SP000696
R00127,SP000701
R00127,SP000705
R00127,SP002726
R00127,SP003313
R00128,SP000338
R00128,SP000386
R00128,SP001000
R00128,SP001733
R00128,SP002945
R00128,SP003695
R00129,SP000340
R00129,SP001337
R00130,SP000343
R00130,SP003560
R00131,SP000345
R00131,SP001125
R00131,SP002195
R00131,SP003595
R00131,SP003822
R00132,SP000346
R00132,SP000378
R00132,SP001115
R00132,SP001298
R00132,SP001595
R00132,SP002578
R00132,SP003029
R00133,SP000348
R00133,SP003033
R00134,SP000350
R00134,SP003694
R00135,SP000351
R00135,SP002096
R00135,SP002206
R00135,SP002444
R00136,SP000355
R00136,SP000553
R00136,SP004162
R00137,SP000357
R00137,SP000946
R00138,SP000358
R00138,SP003687
R00139,SP000361
R00139,SP000444
R00139,SP000909
R00139,SP001619
R00139,SP001698
R00140,SP000362
R00140,SP001026
R00140,SP001042
R00140,SP001734
R00140,SP002173
R00140,SP002256
R00140,SP002498
R00140,SP002506
R00140,SP002516
R00140,SP002725
R00140,SP002810
R00140,SP003249
R00141,SP000363
R00141,SP000376
R00141,SP002915
R00141,SP003117
R00141,SP003458
R00142,SP000366
R00142,SP003218
R00142,SP003252
R00142,SP003664
R00142,SP004404
R00142,SP004618
R00143,SP000368
R00143,SP000665
R00144,SP000369
R00144,SP000457
R00144,SP000461
R00144,SP000464
R00145,SP000370
R00145,SP000954
R00146,SP000372
R00146,SP002275
R00147,SP000377
R00147,SP001055
R00147,SP001127
R00147,SP001129
R00147,SP001140
R00147,SP003472
R00147,SP003502
R00148,SP000382
R00148,SP004253
R00149,SP000383
R00149,SP002168
R00149,SP004217
R00149,SP004574
R00149,SP004579
R00150,SP000394
R00150,SP001955
R00151,SP000396
R00151,SP001151
R00151,SP003305
R00152,SP000397
R00152,SP000549
R00152,SP001459
R00152,SP001666
R00152,SP001669
R00152,SP001672
R00152,SP001774
R00152,SP003253
R00152,SP003266
R00152,SP003377
R00152,SP004023
R00153,SP000399
R00153,SP004002
R00154,SP000402
R00154,SP001598
R00155,SP000405
R00155,SP003681
R00155,SP003774
R00155,SP003892
R00156,SP000406
R00156,SP001641
R00156,SP004011
R00156,SP004377
R00157,SP000409
R00157,SP001339
R00157,SP002145
R00157,SP002146
R00157,SP004090
R00158,SP000412
R00158,SP000415
R00158,SP000432
R00158,SP000684
R00158,SP000717
R00158,SP001820
R00158,SP002994
R00158,SP003423
R00159,SP000416
R00159,SP002645
R00159,SP002650
R00159,SP002652
R00159,SP004047
R00160,SP000420
R00160,SP002812
R00161,SP000421
R00161,SP000454
R00162,SP000422
R00162,SP001004
R00162,SP002674
R00163,SP000424
R00163,SP004408
R00164,SP000425
R00164,SP000433
R00164,SP001135
R00164,SP001401
R00164,SP003088
R00164,SP003551
R00164,SP003553
R00164,SP003565
R00164,SP004368
R00165,SP000430
R00165,SP001592
R00165,SP001792
R00165,SP002081
R00165,SP003111
R00165,SP004026
R00166,SP000435
R00166,SP004187
R00167,SP000439
R00167,SP000593
R00167,SP000652
R00167,SP001110
R00167,SP002149
R00167,SP003074
R00168,SP000440
R00168,SP000446
R00168,SP001179
R00168,SP001204
R00168,SP002990
R00168,SP004250
R00169,SP000441
R00169,SP000671
R00170,SP000442
R00170,SP000991
R00170,SP002493
R00170,SP002494
R00170,SP002502
R00170,SP002602
R00170,SP002623
R00170,SP002765
R00170,SP002973
R00170,SP003030
R00170,SP003175
R00170,SP004237
R00171,SP000445
R00171,SP000537
R00171,SP001429
R00171,SP001671
R00171,SP001674
R00171,SP001676
R00171,SP001680
R00171,SP001876
R00171,SP001877
R00171,SP002344
R00171,SP002854
R00171,SP002942
R00171,SP002958
R00171,SP003384
R00171,SP003476
R00171,SP004602
R00172,SP000447
R00172,SP001374
R00172,SP001376
R00173,SP000448
R00173,SP001415
R00173,SP004150
R00173,SP004561
R00174,SP000449
R00174,SP000451
R00174,SP002492
R00174,SP002520
R00174,SP002811
R00174,SP002814
R00174,SP002815
R00175,SP000452
R00175,SP000456
R00176,SP000453
R00176,SP003044
R00176,SP003189
R00177,SP000458
R00177,SP000772
R00177,SP002933
R00178,SP000459
R00178,SP000672
R00178,SP000673
R00178,SP001213
R00178,SP001844
R00178,SP001845
R00178,SP002488
R00178,SP003903
R00178,SP004466
R00179,SP000463
R00179,SP000944
R00179,SP001030
R00179,SP001041
R00179,SP001068
R00179,SP001071
R00179,SP001186
R00179,SP001187
R00179,SP001190
R00179,SP001194
R00179,SP001197
R00179,SP001198
R00179,SP001206
R00179,SP001217
R00179,SP001227
R00179,SP001233
R00179,SP003109
R00179,SP003844
R00179,SP003846
R00179,SP003849
R00179,SP003851
R00179,SP004198
R00180,SP000465
R00180,SP001706
R00181,SP000467
R00181,SP000508
R00181,SP000714
R00182,SP000469
R00182,SP001846
R00182,SP001847
R00182,SP002697
R00182,SP002948
R00182,SP003953
R00182,SP004275
R00182,SP004379
R00182,SP004518
R00182,SP004628
R00183,SP000470
R00183,SP001689
R00184,SP000471
R00184,SP000473
R00184,SP000475
R00185,SP000472
R00185,SP001150
R00186,SP000474
R00186,SP001616
R00186,SP001684
R00187,SP000476
R00187,SP001405
R00187,SP001413
R00187,SP003374
R00188,SP000478
R00188,SP002278
R00188,SP003435
R00189,SP000479
R00189,SP000491
R00189,SP000498
R00189,SP000503
R00189,SP000551
R00189,SP003059
R00189,SP003378
R00189,SP004534
R00189,SP004587
R00189,SP004640
R00190,SP000480
R00190,SP001396
R00190,SP001397
R00190,SP001398
R00190,SP001399
R00190,SP001735
R00190,SP004096
R00191,SP000481
R00191,SP000487
R00191,SP000496
R00191,SP000556
R00191,SP004588
R00192,SP000483
R00192,SP001434
R00192,SP001462
R00192,SP001645
R00192,SP002628
R00192,SP003251
R00192,SP003381
R00193,SP000484
R00193,SP000493
R00193,SP002415
R00193,SP002423
R00193,SP002644
R00193,SP003409
R00193,SP003532
R00194,SP000486
R00194,SP002357
R00194,SP002359
R00194,SP002366
R00194,SP002369
R00194,SP002371
R00194,SP004513
R00195,SP000489
R00195,SP001500
R00196,SP000490
R00196,SP001525
R00196,SP001528
R00197,SP000497
R00197,SP002051
R00197,SP002063
R00198,SP000501
R00198,SP002530
R00198,SP002562
R00198,SP003512
R00198,SP003529
R00198,SP003571
R00199,SP000504
R00199,SP002934
R00199,SP002935
R00200,SP000505
R00200,SP001863
R00200,SP004276
R00201,SP000507
R00201,SP002121
R00201,SP002122
R00201,SP002309
R00201,SP002864
R00201,SP003443
R00201,SP003875
R00202,SP000515
R00202,SP001644
R00203,SP000516
R00203,SP001054
R00203,SP001300
R00204,SP000517
R00204,SP002671
R00204,SP002677
R00204,SP003514
R00204,SP003517
R00204,SP004333
R00205,SP000518
R00205,SP000550
R00205,SP000558
R00205,SP001152
R00205,SP001156
R00205,SP001165
R00205,SP001167
R00205,SP001168
R00205,SP001542
R00205,SP001556
R00205,SP002411
R00205,SP002570
R00205,SP003285
R00205,SP003415
R00205,SP003513
R00205,SP004093
R00205,SP004167
R00206,SP000520
R00206,SP002187
R00207,SP000523
R00207,SP002027
R00207,SP004305
R00208,SP000526
R00208,SP000528
R00208,SP002694
R00208,SP003001
R00208,SP003003
R00208,SP003916
R00208,SP004206
R00208,SP004235
R00209,SP000527
R00209,SP001522
R00210,SP000534
R00210,SP001318
R00210,SP003060
R00210,SP003369
R00211,SP000535
R00211,SP001941
R00211,SP002038
R00211,SP002475
R00211,SP003229
R00212,SP000536
R00212,SP000557
R00212,SP000594
R00212,SP000611
R00213,SP000538
R00213,SP000891
R00214,SP000540
R00214,SP002312
R00214,SP003441
R00214,SP003811
R00215,SP000541
R00215,SP004373
R00216,SP000543
R00216,SP001287
R00216,SP002611
R00217,SP000547
R00217,SP004258
R00218,SP000548
R00218,SP002065
R00218,SP002066
R00219,SP000554
R00219,SP000612
R00219,SP004102
R00220,SP000562
R00220,SP000978
R00220,SP001203
R00220,SP003055
R00221,SP000563
R00221,SP003913
R00222,SP000568
R00222,SP001637
R00222,SP002522
R00223,SP000578
R00223,SP000661
R00223,SP000678
R00223,SP000719
R00223,SP001561
R00223,SP002978
R00223,SP003048
R00223,SP003058
R00223,SP003072
R00223,SP003075
R00223,SP003134
R00223,SP003279
R00223,SP003960
R00223,SP004138
R00224,SP000584
R00224,SP000587
R00224,SP000599
R00224,SP000602
R00224,SP000620
R00224,SP000654
R00224,SP000951
R00224,SP000953
R00224,SP000960
R00224,SP000964
R00224,SP001887
R00224,SP003152
R00224,SP003155
R00224,SP003334
R00224,SP003576
R00225,SP000589
R00225,SP001013
R00225,SP001608
R00226,SP000590
R00226,SP000972
R00226,SP001219
R00226,SP003038
R00226,SP003509
R00227,SP000591
R00227,SP002826
R00227,SP002828
R00227,SP003057
R00228,SP000597
R00228,SP000603
R00228,SP001511
R00228,SP001514
R00228,SP002281
R00228,SP002293
R00228,SP003413
R00229,SP000604
R00229,SP002123
R00229,SP002323
R00229,SP004372
R00230,SP000606
R00230,SP004101
R00231,SP000613
R00231,SP000650
R00231,SP004486
R00232,SP000614
R00232,SP002751
R00232,SP004524
R00233,SP000615
R00233,SP000935
R00233,SP001245
R00233,SP001835
R00234,SP000619
R00234,SP002453
R00234,SP002462
R00235,SP000622
R00235,SP003178
R00235,SP003206
R00235,SP003263
R00235,SP004398
R00236,SP000623
R00236,SP002377
R00236,SP003609
R00237,SP000626
R00237,SP001679
R00237,SP001693
R00237,SP002622
R00237,SP004468
R00238,SP000628
R00238,SP000712
R00238,SP000737
R00238,SP003705
R00239,SP000632
R00239,SP000638
R00239,SP000643
R00239,SP000649
R00239,SP003328
R00240,SP000640
R00240,SP003041
R00240,SP003526
R00240,SP003531
R00240,SP003736
R00241,SP000642
R00241,SP001051
R00241,SP003759
R00241,SP004505
R00242,SP000646
R00242,SP001830
R00242,SP003454
R00243,SP000647
R00243,SP000731
R00243,SP003083
R00244,SP000648
R00244,SP000757
R00244,SP000795
R00244,SP000970
R00244,SP001541
R00244,SP001777
R00244,SP003754
R00244,SP004459
R00245,SP000653
R00245,SP001628
R00245,SP002336
R00245,SP002402
R00245,SP002404
R00245,SP002649
R00245,SP002658
R00245,SP002663
R00245,SP003371
R00245,SP003649
R00245,SP004277
R00245,SP004492
R00245,SP004494
R00246,SP000657
R00246,SP000660
R00246,SP000769
R00246,SP001012
R00246,SP002166
R00246,SP003102
R00246,SP004241
R00246,SP004592
R00247,SP000658
R00247,SP001513
R00248,SP000662
R00248,SP002577
R00248,SP002601
