route_id,pattern_id
R00137,SP001898
R00137,SP003823
R00137,SP003825
R00137,SP003827
R00137,SP003830
R00137,SP003835
R00137,SP003848
R00137,SP003850
R00138,SP000207
R00139,SP000208
R00139,SP000495
R00139,SP001812
R00139,SP001944
R00139,SP003718
R00140,SP000210
R00141,SP000211
R00141,SP000232
R00142,SP000213
R00142,SP000241
R00142,SP000249
R00142,SP000251
R00142,SP001670
R00143,SP000214
R00144,SP000215
R00144,SP000704
R00144,SP000708
R00144,SP003777
R00144,SP003778
R00144,SP003785
R00144,SP003787
R00144,SP003791
R00144,SP004095
R00144,SP004425
R00144,SP004428
R00144,SP004439
R00144,SP004442
R00145,SP000216
R00145,SP004140
R00145,SP004293
R00146,SP000217
R00147,SP000218
R00148,SP000219
R00149,SP000220
R00150,SP000221
R00151,SP000222
R00151,SP002077
R00151,SP003685
R00151,SP003747
R00152,SP000223
R00153,SP000225
R00154,SP000228
R00155,SP000230
R00156,SP000231
R00156,SP000312
R00156,SP002465
R00157,SP000233
R00158,SP000235
R00158,SP000240
R00158,SP000297
R00158,SP000311
R00158,SP001640
R00158,SP002792
R00158,SP003190
R00158,SP003410
R00158,SP004159
R00158,SP004182
R00158,SP004233
R00158,SP004563
R00158,SP004635
R00158,SP004637
R00159,SP000236
R00160,SP000237
R00160,SP000255
R00161,SP000238
R00162,SP000239
R00162,SP004504
R00163,SP000242
R00163,SP004247
R00164,SP000243
R00165,SP000244
R00166,SP000245
R00166,SP002688
R00166,SP002989
R00166,SP003270
R00166,SP004447
R00167,SP000246
R00168,SP000247
R00169,SP000250
R00170,SP000252
R00171,SP000253
R00172,SP000254
R00173,SP000256
R00174,SP000257
R00175,SP000258
R00176,SP000259
R00177,SP000260
R00177,SP000904
R00177,SP001827
R00178,SP000261
R00179,SP000262
R00179,SP000502
R00179,SP000559
R00179,SP001993
R00179,SP003776
R00179,SP003779
R00179,SP003792
R00179,SP003796
R00179,SP003893
R00179,SP003897
R00179,SP003902
R00179,SP004316
R00180,SP000263
R00180,SP004436
R00181,SP000264
R00181,SP003653
R00182,SP000265
R00183,SP000267
R00183,SP000268
R00183,SP001952
R00183,SP002087
R00183,SP004448
R00184,SP000269
R00184,SP004454
R00185,SP000270
R00186,SP000271
R00186,SP003581
R00187,SP000272
R00187,SP001468
R00187,SP001470
R00187,SP001477
R00187,SP001485
R00187,SP001508
R00187,SP001520
R00187,SP004104
R00188,SP000273
R00188,SP000760
R00188,SP000784
R00188,SP001141
R00188,SP001144
