station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band
SCR123,Duke Street,DST,,,,55.859207,-4.212814,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR123,,,False,regional
SCR124,Dumbarton Central,DBC,,,,55.946705,-4.56697,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR124,,,False,regional
SCR125,Dumbarton East,DBE,,,,55.942478,-4.55387,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR125,,,False,regional
SCR126,Dumbreck,DUM,,,,55.841255,-4.309216,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR126,,,False,regional
SCR127,Dumfries,DMF,,,,55.072395,-3.605261,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR127,,,False,regional
SCR128,Dunbar,DUN,,,,55.998428,-2.514625,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR128,,,False,regional
SCR129,Dunblane,DBL,,,,56.186001,-3.967296,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR129,,,False,regional
SCR130,Duncraig,DCG,,,,57.336727,-5.637282,,,,,,,,,,,,,,,,,,,,,,,,['Kyle Line'],Kyle Line,False,False,single,True,False,True,SCR130,,,False,regional
SCR131,Dundee,DEE,,,,56.456669,-2.970576,,,,,,,,,,,,,,,,,,,,,,,,['Aberdeen Line'],Aberdeen Line,False,False,single,False,True,False,SCR131,,,False,regional
SCR132,Dunfermline City,DFE,,,,56.068233,-3.452033,,,,,,,,,,,,,,,,,,,,,,,,['Fife Circle'],Fife Circle,False,False,multiple,False,True,False,SCR132,,,False,regional
SCR133,Dunfermline Queen Margaret,DFL,,,,56.080706,-3.42164,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR133,,,False,regional
SCR134,Dunkeld & Birnam,DKD,,,,56.557301,-3.578097,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR134,,,False,regional
SCR135,Dunlop,DNL,,,,55.711926,-4.532435,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR135,,,False,regional
SCR136,Dunrobin Castle,DNO,,,,57.986111,-3.946595,,,,,,,,,,,,,,,,,,,,,,,,['Far North Line'],Far North Line,False,False,multiple,True,False,True,SCR136,,,False,regional
SCR137,Dyce,DYC,,,,57.205002,-2.191978,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR137,,,False,regional
SCR138,East Kilbride,EKL,,,,55.765388,-4.18199,,,,,,,,,,,,,,,,,,,,,,,,['East Kilbride Line'],East Kilbride Line,False,False,multiple,False,True,False,SCR138,,,False,regional
SCR139,East Linton,ELT,,,,55.9856,-2.6579,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR139,,,False,regional
SCR140,Easterhouse,EST,,,,55.860157,-4.107389,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR140,,,False,regional
