station_id,route_id,station_name,crs,operator,route,county,region,latitude,longitude,is_interchange,major_interchange,is_terminus1,branch_junction,is_junction,canonical_time_to_...,time_band,distance_from_..._km,distance_band,time_band,accessibility_score,difficulty_score,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km
SC_0232,SC_R0232,Lanark,LNK,Scotrail,Lanark Line,,,55.673119,-3.772901,,,TRUE,,,,,,,,,,single,TRUE,FALSE,FALSE,SCR232,,,FALSE,regional,,,,,,,,,,,,
SC_0320,SC_R0320,Shieldmuir,SDM,Scotrail,Lanark Line,,,55.775532,-3.952944,,,FALSE,,,,,,,,,,single,TRUE,FALSE,FALSE,SCR320,,,FALSE,regional,,,,,,,,,,,,
SC_0361,SC_R0361,Wishaw,WSH,Scotrail,Lanark Line,,,55.772346,-3.927267,,,FALSE,,,,,,,,,,single,TRUE,FALSE,FALSE,SCR361,,,FALSE,regional,,,,,,,,,,,,
SC_0004,SC_R0004,Achnasheen,ACN,Scotrail,Kyle Line,,,57.579205,-5.072421,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR004,,,FALSE,regional,,,,,,,,,,,,
SC_0005,SC_R0005,Achnashellach,ACH,Scotrail,Kyle Line,,,57.482697,-5.333001,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR005,,,FALSE,regional,,,,,,,,,,,,
SC_0028,SC_R0028,Attadale,ATT,Scotrail,Kyle Line,,,57.394871,-5.456549,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR028,,,FALSE,regional,,,,,,,,,,,,
SC_0116,SC_R0116,Dingwall,DIN,Scotrail,Kyle Line,,,57.594238,-4.422611,,,TRUE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR116,,,FALSE,regional,,,,,,,,,,,,
SC_0122,SC_R0122,Duirinish,DRN,Scotrail,Kyle Line,,,57.319847,-5.692103,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR122,,,FALSE,regional,,,,,,,,,,,,
SC_0130,SC_R0130,Duncraig,DCG,Scotrail,Kyle Line,,,57.336727,-5.637282,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR130,,,FALSE,regional,,,,,,,,,,,,
SC_0162,SC_R0162,Garve,GVE,Scotrail,Kyle Line,,,57.613129,-4.688429,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR162,,,FALSE,regional,,,,,,,,,,,,
SC_0229,SC_R0229,Kyle of Lochalsh,KYL,Scotrail,Kyle Line,,,57.280567,-5.713067,,,TRUE,,,,,,,,,,multiple,TRUE,FALSE,TRUE,SCR229,,,FALSE,regional,,,,,,,,,,,,
SC_0291,SC_R0291,Plockton,PLK,Scotrail,Kyle Line,,,57.333172,-5.666848,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR291,,,FALSE,regional,,,,,,,,,,,,
SC_0335,SC_R0335,Strathcarron,STC,Scotrail,Kyle Line,,,57.422585,-5.429166,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR335,,,FALSE,regional,,,,,,,,,,,,
SC_0336,SC_R0336,Stromeferry,STF,Scotrail,Kyle Line,,,57.352688,-5.550702,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR336,,,FALSE,regional,,,,,,,,,,,,
SC_0049,SC_R0049,Bishopton,BPT,Scotrail,Inverclyde Line,,,55.902206,-4.501637,,,FALSE,,,,,,,,,,single,FALSE,TRUE,TRUE,SCR049,,,FALSE,regional,,,,,,,,,,,,
SC_0054,SC_R0054,Bogston,BGS,Scotrail,Inverclyde Line,,,55.937267,-4.713676,,,FALSE,,,,,,,,,,single,FALSE,TRUE,TRUE,SCR054,,,FALSE,regional,,,,,,,,,,,,
SC_0081,SC_R0081,Cartsdyke,CDY,Scotrail,Inverclyde Line,,,55.942261,-4.731633,,,FALSE,,,,,,,,,,single,FALSE,TRUE,TRUE,SCR081,,,FALSE,regional,,,,,,,,,,,,
SC_0176,SC_R0176,Gourock,GRK,Scotrail,Inverclyde Line,,,55.962788,-4.818021,,,TRUE,,,,,,,,,,single,FALSE,TRUE,TRUE,SCR176,,,FALSE,regional,,,,,,,,,,,,
SC_0178,SC_R0178,Greenock Central,GKC,Scotrail,Inverclyde Line,,,55.945385,-4.752692,,,FALSE,,,,,,,,,,multiple,FALSE,TRUE,TRUE,SCR178,,,FALSE,regional,,,,,,,,,,,,
SC_0179,SC_R0179,Greenock West,GKW,Scotrail,Inverclyde Line,,,55.94772,-4.768866,,,FALSE,,,,,,,,,,multiple,FALSE,TRUE,TRUE,SCR179,,,FALSE,regional,,,,,,,,,,,,
SC_0297,SC_R0297,Port Glasgow,PTG,Scotrail,Inverclyde Line,,,55.9342,-4.689432,,,FALSE,,,,,,,,,,multiple,FALSE,TRUE,TRUE,SCR297,,,FALSE,regional,,,,,,,,,,,,
SC_0362,SC_R0362,Woodhall,WDL,Scotrail,Inverclyde Line,,,55.931339,-4.655614,,,FALSE,,,,,,,,,,single,FALSE,TRUE,TRUE,SCR362,,,FALSE,regional,,,,,,,,,,,,
SC_0030,SC_R0030,Aviemore,AVM,Scotrail,Highland Main Line,,,57.18914,-3.828348,,,TRUE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR030,,,FALSE,regional,,,,,,,,,,,,
SC_0051,SC_R0051,Blair Atholl,BLA,Scotrail,Highland Main Line,,,56.765614,-3.85025,,,FALSE,,,,,,,,,,multiple,FALSE,TRUE,FALSE,SCR051,,,FALSE,regional,,,,,,,,,,,,
SC_0079,SC_R0079,Carrbridge,CAG,Scotrail,Highland Main Line,,,57.279873,-3.829541,,,TRUE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR079,,,FALSE,regional,,,,,,,,,,,,
SC_0115,SC_R0115,Dalwhinnie,DLW,Scotrail,Highland Main Line,,,56.934334,-4.246498,,,TRUE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR115,,,FALSE,regional,,,,,,,,,,,,
SC_0203,SC_R0203,Inverness,INV,Scotrail,Highland Main Line,,,57.480194,-4.223199,,,TRUE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR203,,,FALSE,regional,,,,,,,,,,,,
SC_0222,SC_R0222,Kingussie,KIN,Scotrail,Highland Main Line,,,57.07785,-4.052227,,,TRUE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR222,,,FALSE,regional,,,,,,,,,,,,
SC_0289,SC_R0289,Perth,PTH,Scotrail,Highland Main Line,,,56.39275,-3.440068,,,TRUE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR289,,,FALSE,regional,,,,,,,,,,,,
SC_0290,SC_R0290,Pitlochry,PIT,Scotrail,Highland Main Line,,,56.70256,-3.736085,,,FALSE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR290,,,FALSE,regional,,,,,,,,,,,,
SC_0096,SC_R0096,Cowdenbeath,COW,Scotrail,Fife Circle,,,56.111679,-3.344314,,,TRUE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR096,,,FALSE,regional,,,,,,,,,,,,
SC_0132,SC_R0132,Dunfermline City,DFE,Scotrail,Fife Circle,,,56.068233,-3.452033,,,FALSE,,,,,,,,,,multiple,FALSE,TRUE,FALSE,SCR132,,,FALSE,regional,,,,,,,,,,,,
SC_0201,SC_R0201,Inverkeithing,INK,Scotrail,Fife Circle,,,56.034725,-3.39621,,,TRUE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR201,,,FALSE,regional,,,,,,,,,,,,
SC_0224,SC_R0224,Kirkcaldy,KDY,Scotrail,Fife Circle,,,56.112579,-3.167445,,,FALSE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR224,,,FALSE,regional,,,,,,,,,,,,
SC_0230,SC_R0230,Ladybank,LDY,Scotrail,Fife Circle,,,56.273834,-3.122284,,,FALSE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR230,,,FALSE,regional,,,,,,,,,,,,
SC_0255,SC_R0255,Markinch,MNC,Scotrail,Fife Circle,,,56.200069,-3.131414,,,FALSE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR255,,,FALSE,regional,,,,,,,,,,,,
SC_0310,SC_R0310,Rosyth,ROS,Scotrail,Fife Circle,,,56.046055,-3.427114,,,FALSE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR310,,,FALSE,regional,,,,,,,,,,,,
SC_0012,SC_R0012,Alness,ASS,Scotrail,Far North Line,,,57.694477,-4.249743,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR012,,,FALSE,regional,,,,,,,,,,,,
SC_0013,SC_R0013,Altnabreac,ABC,Scotrail,Far North Line,,,58.388439,-3.705279,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR013,,,FALSE,regional,,,,,,,,,,,,
SC_0018,SC_R0018,Ardgay,ARD,Scotrail,Far North Line,,,57.881119,-4.362604,,,TRUE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR018,,,FALSE,regional,,,,,,,,,,,,
SC_0061,SC_R0061,Brora,BRA,Scotrail,Far North Line,,,58.012657,-3.853251,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR061,,,FALSE,regional,,,,,,,,,,,,
SC_0136,SC_R0136,Dunrobin Castle,DNO,Scotrail,Far North Line,,,57.986111,-3.946595,,,FALSE,,,,,,,,,,multiple,TRUE,FALSE,TRUE,SCR136,,,FALSE,regional,,,,,,,,,,,,
SC_0152,SC_R0152,Fearn,FRN,Scotrail,Far North Line,,,57.777828,-3.994245,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR152,,,FALSE,regional,,,,,,,,,,,,
