station_id,station_name,crs,route,terminus,interchange,paddington_minutes,latitude,longitude,country,distance_from_paddington_km,distance_band,coastal,zone,county
STN_worcester_foregate_street,Worcester Foregate Street,WOF,Oxford & Hereford Line,FALSE,FALSE,140,52.194801,-2.220885,england,159.5,long,FALSE,Cotswolds,Worcestershire
STN_worcester_shrub_hill,Worcester Shrub Hill,WOS,Oxford & Hereford Line,FALSE,FALSE,135,52.194817,-2.210642,england,158.9,long,FALSE,Cotswolds,Worcestershire
STN_worcestershire_parkway,Worcestershire Parkway,WOP,Oxford & Hereford Line,FALSE,FALSE,130,52.15622,-2.1597,england,153.8,long,FALSE,Cotswolds,Worcestershire
STN_worle,Worle,WOR,Great Western Main Line,FALSE,FALSE,100,51.357995,-2.909703,england,190.3,long,FALSE,Thames Valley,Somerset
STN_yatton,Yatton,YAT,Great Western Main Line,FALSE,FALSE,95,51.390965,-2.827815,england,184.3,long,FALSE,Thames Valley,Somerset
STN_yeoford,Yeoford,YEO,Tarka Line,FALSE,FALSE,155,50.77684,-3.726109,england,260.9,long,FALSE,Devon,Devon
STN_theale,Theale,THE,Berks & Hants Line,FALSE,FALSE,30,51.433395,-1.074968,england,,local,FALSE,Thames Valley,Berkshire
STN_reading_west,Reading West,RDW,Berks & Hants Line,FALSE,FALSE,28,51.455077,-0.990143,england,,local,FALSE,Thames Valley,Berkshire
STN_aldermaston,Aldermaston,AMT,Berks & Hants Line,FALSE,FALSE,40,51.402047,-1.136972,england,,local,FALSE,Thames Valley,Berkshire
STN_midgham,Midgham,MDG,Berks & Hants Line,FALSE,FALSE,42,51.395805,-1.177683,england,,local,FALSE,Thames Valley,Berkshire
STN_thatcham,Thatcham,THA,Berks & Hants Line,FALSE,FALSE,45,51.39384,-1.243048,england,,local,FALSE,Thames Valley,Berkshire
STN_newbury_racecourse,Newbury Racecourse,NRC,Berks & Hants Line,FALSE,FALSE,48,51.39814,-1.308549,england,,local,FALSE,Thames Valley,Berkshire
STN_newbury,Newbury,NBY,Berks & Hants Line,FALSE,TRUE,50,51.397599,-1.322608,england,,local,FALSE,Thames Valley,Berkshire
STN_kintbury,Kintbury,KIT,Berks & Hants Line,FALSE,FALSE,60,51.40247,-1.445059,england,,regional,FALSE,Thames Valley,Berkshire
STN_hungerford,Hungerford,HGD,Berks & Hants Line,FALSE,FALSE,65,51.415344,-1.511056,england,,regional,FALSE,Thames Valley,Berkshire
STN_bedwyn,Bedwyn,BDW,Berks & Hants Line,TRUE,FALSE,75,51.379715,-1.599077,england,,regional,FALSE,Thames Valley,Wiltshire
STN_pewsey,Pewsey,PEW,Berks & Hants Line,FALSE,FALSE,85,51.342411,-1.771691,england,,regional,FALSE,Thames Valley,Wiltshire
STN_westbury,Westbury,WSB,TransWilts Line,FALSE,TRUE,100,51.26693,-2.199202,england,,long,FALSE,West Country,Wiltshire
STN_dilton_marsh,Dilton Marsh,DMH,Westbury Branch,FALSE,FALSE,105,51.248928,-2.207723,england,,long,FALSE,West Country,Wiltshire
STN_warminster,Warminster,WMN,Westbury Branch,FALSE,FALSE,110,51.206722,-2.177467,england,,long,FALSE,West Country,Wiltshire
STN_trowbridge,Trowbridge,TRO,Avon Valley Line,FALSE,TRUE,105,51.319954,-2.215222,england,,long,FALSE,West Country,Wiltshire
STN_bradford_on_avon,Bradford-on-Avon,BOA,Avon Valley Line,FALSE,FALSE,110,51.345058,-2.252669,england,,long,FALSE,West Country,Wiltshire
STN_freshford,Freshford,FFD,Avon Valley Line,FALSE,FALSE,115,51.342251,-2.30146,england,,long,FALSE,West Country,Somerset
STN_avoncliff,Avoncliff,AVF,Avon Valley Line,FALSE,FALSE,112,51.339596,-2.281342,england,,long,FALSE,West Country,Wiltshire
STN_melksham,Melksham,MKM,TransWilts Line,FALSE,FALSE,95,51.379803,-2.14449,england,,regional,FALSE,West Country,Wiltshire
STN_frome,Frome,FRO,Heart of Wessex Line,FALSE,FALSE,115,51.227131,-2.309302,england,,long,FALSE,West Country,Somerset
STN_bruton,Bruton,BRU,Heart of Wessex Line,FALSE,FALSE,125,51.111584,-2.447103,england,,long,FALSE,West Country,Somerset
STN_castle_cary,Castle Cary,CLC,Heart of Wessex Line,FALSE,FALSE,130,51.099583,-2.522683,england,,long,FALSE,West Country,Somerset
STN_yeovil_pen_mill,Yeovil Pen Mill,YVP,Heart of Wessex Line,FALSE,FALSE,145,50.944466,-2.613461,england,,long,FALSE,West Country,Somerset
STN_thornford,Thornford,THO,Heart of Wessex Line,FALSE,FALSE,150,50.911377,-2.57889,england,,long,FALSE,West Country,Dorset
STN_yetminster,Yetminster,YET,Heart of Wessex Line,FALSE,FALSE,155,50.896114,-2.573004,england,,long,FALSE,West Country,Dorset
STN_chetnole,Chetnole,CNO,Heart of Wessex Line,FALSE,FALSE,160,50.866428,-2.574072,england,,long,FALSE,West Country,Dorset
STN_maiden_newton,Maiden Newton,MDN,Heart of Wessex Line,FALSE,FALSE,165,50.780128,-2.568749,england,,long,FALSE,West Country,Dorset
STN_dorchester_west,Dorchester West,DCW,Heart of Wessex Line,FALSE,FALSE,170,50.710526,-2.443274,england,,long,FALSE,West Country,Dorset
STN_upwey,Upwey,UPW,Heart of Wessex Line,FALSE,FALSE,175,50.64838,-2.466731,england,,long,FALSE,West Country,Dorset
STN_weymouth,Weymouth,WEY,Heart of Wessex Line,TRUE,FALSE,180,50.61515,-2.455103,england,,remote,FALSE,West Country,Dorset
