station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score
SR061,Moulsecoomb,MCB,,,,50.844616,-0.12076,False,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
SR062,Norbury,NRB,,,,51.411236,-0.123492,False,,,,,,,,,,,,,,,1,1,low,few,18.0,0-30,2,8
SR063,Normans Bay,NSB,,,,50.825382,0.389669,False,,,,,,,,,,,,,,,1,1,low,few,63.0,60-120,2,8
SR064,Otford,OTF,,,,51.312141,0.196757,False,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
SR065,Pevensey & Westham,PEV,,,,50.815899,0.325291,False,,,,,,,,,,,,,,,1,1,low,few,58.5,30-60,2,8
SR066,Polegate,PLG,,,,50.820934,0.251705,False,,,,,,,,,,,,,,,1,1,low,few,45.0,30-60,2,8
SR067,Portchester,PTC,,,,50.848389,-1.126361,False,,,,,,,,,,,,,,,1,1,low,few,58.5,30-60,2,8
SR068,Portslade,PLD,,,,50.836044,-0.204898,False,,,,,,,,,,,,,,,1,1,low,few,27.0,0-30,2,8
SR069,Portsmouth & Southsea,PMS,,,,50.797756,-1.090417,False,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
SR070,Portsmouth Harbour,PMH,,,,50.796097,-1.108895,True,,,,,,,,,,,,,,,1,1,low,few,36.0,30-60,2,8
SR071,Preston Park,PRP,,,,50.846054,-0.154787,False,,,,,,,,,,,,,,,1,1,low,few,27.0,0-30,2,8
SR072,Purley,PUR,,,,51.337334,-0.113592,False,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
SR073,Redhill,RDH,,,,51.240124,-0.164851,False,,,,,,,,,,,,,,,1,1,low,few,27.0,0-30,2,8
SR074,Robertsbridge,RBR,,,,50.984726,0.469092,False,,,,,,,,,,,,,,,1,1,low,few,76.5,60-120,2,8
SR075,Salfords,SAF,,,,51.201412,-0.162096,False,,,,,,,,,,,,,,,1,1,low,few,18.0,0-30,2,8
SR076,Selhurst,SRS,,,,51.392704,-0.089759,False,,,,,,,,,,,,,,,1,1,low,few,9.0,0-30,2,8
SR077,Sevenoaks,SEV,,,,51.27734,0.182193,False,,,,,,,,,,,,,,,1,1,low,few,36.0,30-60,2,8
SR078,Shepherds Bush,SPB,,,,51.506,-0.218,True,,,,,,,,,,,,,,,1,1,low,few,18.0,0-30,2,8
SR079,Shoreham (Kent),SEH,,,,51.332092,0.187665,False,,,,,,,,,,,,,,,1,1,low,few,18.0,0-30,2,8
SR080,Shoreham-by-Sea,SSE,,,,50.834358,-0.271709,False,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
SR081,South Croydon,SCY,,,,51.362194,-0.093903,False,,,,,,,,,,,,,,,1,1,low,few,9.0,0-30,2,8
SR082,Southampton Central,SOU,,,,50.907742,-1.413983,True,,,,,,,,,,,,,,,2,2,medium,some,53.0,30-60,4,6
SR083,Southbourne,SOB,,,,50.848343,-0.907601,False,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
SR084,Southwick,SWK,,,,50.832928,-0.236254,False,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
SR085,St Denys,SDN,,,,50.921997,-1.3882,False,,,,,,,,,,,,,,,1,1,low,few,57.5,30-60,2,8
SR086,St Leonards Warrior Square,SLQ,,,,50.855942,0.560326,False,,,,,,,,,,,,,,,1,1,low,few,85.5,60-120,2,8
SR087,Stonegate,SOG,,,,51.020184,0.364016,False,,,,,,,,,,,,,,,1,1,low,few,67.5,60-120,2,8
SR088,Streatham,STE,,,,51.425755,-0.131535,False,,,,,,,,,,,,,,,1,1,low,few,27.0,0-30,2,8
SR089,Streatham Common,SRC,,,,51.418629,-0.136136,False,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
SR090,Streatham Hill,SRH,,,,51.43829,-0.128136,False,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
SR091,Sutton,SUO,,,,51.360126,-0.190223,True,,,,,,,,,,,,,,,1,1,low,few,49.5,30-60,2,8
SR092,Swanley,SAY,,,,51.392727,0.16755,False,,,,,,,,,,,,,,,1,1,low,few,4.5,0-30,2,8
SR093,Swanwick,SNW,,,,50.875427,-1.265151,False,,,,,,,,,,,,,,,1,1,low,few,66.5,60-120,2,8
SR094,Thornton Heath,TTH,,,,51.399181,-0.100981,False,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
SR095,Three Bridges,TBD,,,,51.116863,-0.161162,False,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
SR096,Tonbridge,TON,,,,51.191132,0.269715,False,,,,,,,,,,,,,,,1,1,low,few,45.0,30-60,2,8
SR097,Tulse Hill,TUH,,,,51.439713,-0.10506,False,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
SR098,Tunbridge Wells,TBW,,,,51.130119,0.262435,False,,,,,,,,,,,,,,,1,1,low,few,54.0,30-60,2,8
SR099,Wadhurst,WAD,,,,51.07338,0.312483,False,,,,,,,,,,,,,,,1,1,low,few,63.0,60-120,2,8
SR100,Wandsworth Common,WSW,,,,51.446072,-0.165239,False,,,,,,,,,,,,,,,1,1,low,few,9.0,0-30,2,8
SR101,West Brompton,WBP,,,,51.487289,-0.195265,False,,,,,,,,,,,,,,,1,1,low,few,9.0,0-30,2,8
SR102,West Norwood,WNW,,,,51.431583,-0.102517,False,,,,,,,,,,,,,,,1,1,low,few,18.0,0-30,2,8
SR103,West St Leonards,WLD,,,,50.85368,0.540303,False,,,,,,,,,,,,,,,1,1,low,few,81.0,60-120,2,8
SR104,West Worthing,WWO,,,,50.818111,-0.392983,False,,,,,,,,,,,,,,,1,1,low,few,27.0,0-30,2,8
SR105,Winchester,WIN,,,,51.067303,-1.320628,False,,,,,,,,,,,,,,,1,1,low,few,48.5,30-60,2,8
SR106,Wivelsfield,WVF,,,,50.964249,-0.121633,False,,,,,,,,,,,,,,,1,1,low,few,18.0,0-30,2,8
SR107,Worthing,WRH,,,,50.818768,-0.375924,False,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
