station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score
,Hassocks,HAS,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,27,0-30,2,8
,Hastings,HAS,,,,,1,TRUE,,,,,,,,,,,,,,,2,2,medium,some,85.5,60-120,4,6
,Havant,HAV,,,,,0,TRUE,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
,Haywards Heath,HAY,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
,Hedge End,HED,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,62,60-120,2,8
,High Brooms,HIG,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,49.5,30-60,2,8
,Hildenborough,HIL,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
,Hilsea,HIL,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,49.5,30-60,2,8
,Horley,HOR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
,Hove,HOV,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
,Kensington Olympia,KEN,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
,Lancing,LAN,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,27,0-30,2,8
,Lewes,LEW,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
,Littlehampton,LIT,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,36,30-60,2,8
,London Bridge,LON,,,,,0,TRUE,,,,,,,,,,,,,,,1,1,low,few,0,,2,8
,London Road (Brighton),LON,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
,London Victoria,LON,,,,,1,TRUE,,,,,,,,,,,,,,,2,2,medium,some,0,,4,6
,London Waterloo,LON,,,,,0,TRUE,,,,,,,,,,,,,,,1,1,low,few,0,,2,8
,Merstham,MER,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
,Mitcham Eastfields,MIT,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
,Mitcham Junction,MIT,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,36,30-60,2,8
,Moulsecoomb,MOU,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
,Norbury,NOR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,18,0-30,2,8
,Normans Bay,NOR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,63,60-120,2,8
,Otford,OTF,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
,Pevensey & Westham,PEV,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,58.5,30-60,2,8
,Polegate,POL,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,45,30-60,2,8
,Portchester,POR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,58.5,30-60,2,8
,Portslade,POR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,27,0-30,2,8
,Portsmouth & Southsea,POR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
,Portsmouth Harbour,POR,,,,,0,TRUE,,,,,,,,,,,,,,,1,1,low,few,36,30-60,2,8
,Preston Park,PRE,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,27,0-30,2,8
,Purley,PUR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
,Redhill,RED,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,27,0-30,2,8
,Robertsbridge,ROB,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,76.5,60-120,2,8
,Salfords,SAL,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,18,0-30,2,8
,Selhurst,SEL,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,9,0-30,2,8
,Sevenoaks,SEV,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,36,30-60,2,8
,Shepherds Bush,SHE,,,,,0,TRUE,,,,,,,,,,,,,,,1,1,low,few,18,0-30,2,8
,Shoreham (Kent),SHO,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,18,0-30,2,8
,Shoreham-by-Sea,SHO,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
,South Croydon,SOU,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,9,0-30,2,8
,Southampton Central,SOU,,,,,1,TRUE,,,,,,,,,,,,,,,2,2,medium,some,53,30-60,4,6
,Southbourne,SOU,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
,Southwick,SOU,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
,St Denys,ST ,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,57.5,30-60,2,8
,St Leonards Warrior Square,ST ,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,85.5,60-120,2,8
,Stonegate,STO,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,67.5,60-120,2,8
,Streatham,STR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,27,0-30,2,8
,Streatham Common,STR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
,Streatham Hill,STR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
,Sutton,SUT,,,,,0,TRUE,,,,,,,,,,,,,,,1,1,low,few,49.5,30-60,2,8
,Swanley,SWA,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,4.5,0-30,2,8
,Swanwick,SWA,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,66.5,60-120,2,8
,Thornton Heath,THO,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
,Three Bridges,THR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
,Tonbridge,TON,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,45,30-60,2,8
,Tulse Hill,TUL,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
,Tunbridge Wells,TUN,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,54,30-60,2,8
,Wadhurst,WAD,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,63,60-120,2,8
,Wandsworth Common,WAN,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,9,0-30,2,8
,West Brompton,WES,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,9,0-30,2,8
,West Norwood,WES,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,18,0-30,2,8
,West St Leonards,WES,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,81,60-120,2,8
,West Worthing,WES,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,27,0-30,2,8
,Winchester,WIN,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,48.5,30-60,2,8
,Wivelsfield,WIV,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,18,0-30,2,8
,Worthing,WOR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
