station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km
CM019,Warwick Parkway,WRP,Chiltern Railways,Main Line,Warwickshire,52.286268,-1.613493,,,,Warwick Castle,2.04,Warwick Castle,2.04,Coventry Cathedral,15.38,Coventry Transport Museum,15.4,Packwood House,9.17,Coombe Abbey Park,20.02
CM020,Hatton,HTN,Chiltern Railways,Main Line,Warwickshire,52.295242,-1.672982,,,,Packwood House,6.0,Warwick Castle,6.16,Coventry Cathedral,16.85,Coventry Transport Museum,16.78,Packwood House,6.0,Coombe Abbey Park,22.44
CM021,Dorridge,DDG,Chiltern Railways,Main Line,West Midlands,52.371861,-1.753209,,,,Baddesley Clinton,2.31,Kenilworth Castle,12.16,Birmingham Cathedral,15.46,Thinktank Birmingham,14.97,Baddesley Clinton,2.31,Sutton Park,21.99
CM022,Solihull,SOL,Chiltern Railways,Main Line,West Midlands,52.415081,-1.78972,,,,Baddesley Clinton,7.54,Kenilworth Castle,16.04,Birmingham Cathedral,10.32,Thinktank Birmingham,9.82,Baddesley Clinton,7.54,Sutton Park,16.96
CM023,Birmingham Moor Street,BMO,Chiltern Railways,Main Line,West Midlands,52.479053,-1.892483,,,,Bullring Birmingham,0.23,Dudley Castle,13.49,Birmingham Cathedral,0.27,Thinktank Birmingham,0.41,Baddesley Clinton,17.36,Sandwell Valley Country Park,7.78
CM024,Birmingham Snow Hill,BSW,Chiltern Railways,Main Line,West Midlands,52.483555,-1.899833,,,,Birmingham Cathedral,0.41,Dudley Castle,12.97,Birmingham Cathedral,0.41,Birmingham Museum and Art Gallery,0.43,Baddesley Clinton,17.96,Sandwell Valley Country Park,7.18
CM025,Harrow-on-the-Hill,HOH,Chiltern Railways,Amersham Line,Greater London,51.57931,-0.336628,,,,,,,,,,,,,,,
CM026,Northolt Park,NLT,Chiltern Railways,Amersham Line,Greater London,51.557762,-0.359827,,,,,,,,,,,,,,,
CM027,Sudbury Hill Harrow,SDH,Chiltern Railways,Amersham Line,Greater London,51.558423,-0.336092,,,,,,,,,,,,,,,
CM028,Sudbury & Harrow Road,SUD,Chiltern Railways,Amersham Line,Greater London,51.554459,-0.316676,,,,,,,,,,,,,,,
CM029,Amersham,AMR,Chiltern Railways,Amersham Line,Buckinghamshire,51.67439,-0.60613,,,,,,,,,,,,,,,
CM030,Great Missenden,GMN,Chiltern Railways,Amersham Line,Buckinghamshire,51.703304,-0.709132,,,,,,,,,,,,,,,
CM031,Wendover,WND,Chiltern Railways,Amersham Line,Buckinghamshire,51.76193,-0.747778,,,,,,,,,,,,,,,
CM032,Stoke Mandeville,SKM,Chiltern Railways,Amersham Line,Buckinghamshire,51.78772,-0.783575,,,,,,,,,,,,,,,
CM033,Aylesbury,AYS,Chiltern Railways,Amersham Line,Buckinghamshire,51.813868,-0.815048,,,,,,,,,,,,,,,
CM034,Aylesbury Vale Parkway,AVP,Chiltern Railways,Amersham Line,Buckinghamshire,51.8327,-0.8623,,,,,,,,,,,,,,,
CM035,Monks Risborough,MRS,Chiltern Railways,Aylesbury Branch,Buckinghamshire,51.735134,-0.829882,,,,,,,,,,,,,,,
CM036,Little Kimble,LTK,Chiltern Railways,Aylesbury Branch,Buckinghamshire,51.752014,-0.809152,,,,,,,,,,,,,,,
CM037,Bicester North,BCS,Chiltern Railways,Oxford Branch,Buckinghamshire,51.903401,-1.150517,,,,,,,,,,,,,,,
CM038,Oxford Parkway,OXP,Chiltern Railways,Oxford Branch,Oxfordshire,51.8042,-1.2745,,,,,,,,,,,,,,,
CM039,Oxford,OXF,Chiltern Railways,Oxford Branch,Northamptonshire,51.753549,-1.270037,,,,,,,,,,,,,,,
CM040,Islip,ISP,Chiltern Railways,Oxford Branch,Oxfordshire,51.82571,-1.238185,,,,,,,,,,,,,,,
CM041,Bearley,BER,Chiltern Railways,Stratford Branch,Warwickshire,52.244252,-1.750259,,,,,,,,,,,,,,,
CM042,Stratford-upon-Avon Parkway,STY,Chiltern Railways,Stratford Branch,Warwickshire,52.20642,-1.7307,,,,,,,,,,,,,,,
CM043,Stratford-upon-Avon,SAV,Chiltern Railways,Stratford Branch,Warwickshire,52.19376,-1.716148,,,,,,,,,,,,,,,
CM044,Lapworth,LPW,Chiltern Railways,Stratford Branch,Warwickshire,52.341232,-1.72549,,,,,,,,,,,,,,,
CM045,Birmingham New Street,BHM,West Midlands Railway,Cross-City,West Midlands,52.478153,-1.898375,,,,,,,,,,,,,,,
CM046,Five Ways,FWY,West Midlands Railway,Cross-City,West Midlands,52.470078,-1.913116,,,,,,,,,,,,,,,
CM047,University,UNI,West Midlands Railway,Cross-City,West Midlands,52.451218,-1.936691
CM048,Selly Oak,SLY,West Midlands Railway,Cross-City,West Midlands,52.441322,-1.936708,,,,,,,,,,,,,,,
CM049,Bournville,BRV,West Midlands Railway,Cross-City,West Midlands,52.426937,-1.926434,,,,,,,,,,,,,,,
CM050,King's Norton,KNN,West Midlands Railway,Cross-City,West Midlands,52.413456,-1.933801,,,,,,,,,,,,,,,
CM051,Northfield,NFD,West Midlands Railway,Cross-City,West Midlands,52.408073,-1.96469,,,,,,,,,,,,,,,
CM052,Longbridge,LOB,West Midlands Railway,Cross-City,West Midlands,52.396385,-1.980861,,,,,,,,,,,,,,,
CM053,Barnt Green,BTG,West Midlands Railway,Cross-City,Worcestershire,52.361328,-1.994098,,,,,,,,,,,,,,,
CM054,Alvechurch,ALV,West Midlands Railway,Cross-City,Worcestershire,52.346607,-1.967854,,,,,,,,,,,,,,,
CM055,Redditch,RDC,West Midlands Railway,Cross-City,Worcestershire,52.306337,-1.945248,,,,,,,,,,,,,,,
CM056,Bromsgrove,BMV,West Midlands Railway,Cross-City,Worcestershire,52.322662,-2.048379,,,,,,,,,,,,,,,
CM057,Aston,AST,West Midlands Railway,Cross-City,West Midlands,52.505104,-1.871788,,,,,,,,,,,,,,,
CM058,Gravelly Hill,GVH,West Midlands Railway,Cross-City,West Midlands,52.514969,-1.852612,,,,,,,,,,,,,,,
CM059,Erdington,ERD,West Midlands Railway,Cross-City,West Midlands,52.528435,-1.839297,,,,,,,,,,,,,,,
CM060,Chester Road,CRD,West Midlands Railway,Cross-City,West Midlands,52.535575,-1.832582,,,,,,,,,,,,,,,
CM061,Wylde Green,WYL,West Midlands Railway,Cross-City,West Midlands,52.545599,-1.831461,,,,,,,,,,,,,,,
CM062,Sutton Coldfield,SUT,West Midlands Railway,Cross-City,West Midlands,52.565269,-1.824404,,,,,,,,,,,,,,,
CM063,Four Oaks,FOK,West Midlands Railway,Cross-City,West Midlands,52.579662,-1.8273,,,,,,,,,,,,,,,
CM064,Blake Street,BKT,West Midlands Railway,Cross-City,Staffordshire,52.605054,-1.844888,,,,,,,,,,,,,,,
CM065,Shenstone,SEN,West Midlands Railway,Cross-City,Staffordshire,52.638985,-1.844528,,,,,,,,,,,,,,,
CM066,Lichfield City,LIC,West Midlands Railway,Cross-City,Staffordshire,52.680347,-1.825431,,,,,,,,,,,,,,,
CM067,Lichfield Trent Valley,LTV,West Midlands Railway,Cross-City,Staffordshire,52.6869,-1.800014,,,,,,,,,,,,,,,
CM068,Smethwick Galton Bridge,SGB,West Midlands Railway,Wolverhampton,West Midlands,52.501826,-1.980632,,,,,,,,,,,,,,,
CM069,Sandwell & Dudley,SAD,West Midlands Railway,Wolverhampton,West Midlands,52.508431,-2.011281,,,,,,,,,,,,,,,
CM070,Dudley Port,DDP,West Midlands Railway,Wolverhampton,West Midlands,52.524517,-2.049401,,,,,,,,,,,,,,,
CM071,Tipton,TIP,West Midlands Railway,Wolverhampton,West Midlands,52.53039,-2.065499,,,,,,,,,,,,,,,
CM072,Coseley,CSY,West Midlands Railway,Wolverhampton,West Midlands,52.545738,-2.086051,,,,,,,,,,,,,,,
CM073,Wolverhampton,WVH,West Midlands Railway,Wolverhampton,West Midlands,52.587818,-2.119529,,,,,,,,,,,,,,,
CM074,Adderley Park,ADD,West Midlands Railway,Coventry,West Midlands,52.483505,-1.854184,,,,,,,,,,,,,,,
CM075,Stechford,SCF,West Midlands Railway,Coventry,West Midlands,52.485241,-1.810006,,,,,,,,,,,,,,,
CM076,Lea Hall,LEH,West Midlands Railway,Coventry,West Midlands,52.480709,-1.786457,,,,,,,,,,,,,,,
CM077,Marston Green,MGN,West Midlands Railway,Coventry,West Midlands,52.467159,-1.755616,,,,,,,,,,,,,,,
CM078,Birmingham International,BHI,West Midlands Railway,Coventry,West Midlands,52.450673,-1.725149,,,,,,,,,,,,,,,
CM079,Hampton-in-Arden,HIA,West Midlands Railway,Coventry,West Midlands,52.428375,-1.699934,,,,,,,,,,,,,,,
CM080,Berkswell,BKW,West Midlands Railway,Coventry,West Midlands,52.395851,-1.642845,,,,,,,,,,,,,,,
CM081,Tile Hill,THL,West Midlands Railway,Coventry,West Midlands,52.394798,-1.594357,,,,,,,,,,,,,,,
CM082,Canley,CNL,West Midlands Railway,Coventry,West Midlands,52.399418,-1.547232,,,,,,,,,,,,,,,
CM083,Coventry,COV,West Midlands Railway,Coventry,West Midlands,52.400787,-1.513466,,,,,,,,,,,,,,,
CM084,Duddeston,DUD,West Midlands Railway,Walsall,West Midlands,52.488018,-1.871842,,,,,,,,,,,,,,,
CM085,Witton,WTT,West Midlands Railway,Walsall,West Midlands,52.51141,-1.883566,,,,,,,,,,,,,,,
CM086,Perry Barr,PRY,West Midlands Railway,Walsall,West Midlands,52.516361,-1.90196,,,,,,,,,,,,,,,
CM087,Hamstead,HSD,West Midlands Railway,Walsall,West Midlands,52.530718,-1.92838,,,,,,,,,,,,,,,
CM088,Tame Bridge Parkway,TAB,West Midlands Railway,Walsall,West Midlands,52.551022,-1.974899,,,,,,,,,,,,,,,
CM089,Bescot Stadium,BSC,West Midlands Railway,Walsall,West Midlands,52.562702,-1.991116,,,,,,,,,,,,,,,
CM090,Walsall,WSL,West Midlands Railway,Walsall,West Midlands,52.584282,-1.98521,,,,,,,,,,,,,,,
CM091,Bloxwich,BLX,West Midlands Railway,Walsall,West Midlands,52.61853,-2.011783,,,,,,,,,,,,,,,
CM092,Bloxwich North,BWN,West Midlands Railway,Walsall,West Midlands,52.625637,-2.019173,,,,,,,,,,,,,,,
CM093,Landywood,LAW,West Midlands Railway,Cannock,Staffordshire,52.657101,-2.020659,,,,,,,,,,,,,,,
CM094,Cannock,CAO,West Midlands Railway,Cannock,Staffordshire,52.686768,-2.022158,,,,,,,,,,,,,,,
CM095,Hednesford,HNF,West Midlands Railway,Cannock,Staffordshire,52.709922,-2.00199,,,,,,,,,,,,,,,
CM096,Rugeley Town,RGT,West Midlands Railway,Cannock,Staffordshire,52.754672,-1.936963,,,,,,,,,,,,,,,
CM097,Rugeley Trent Valley,RGL,West Midlands Railway,Cannock,Staffordshire,52.769451,-1.930309
CM098,Wellington (Shropshire),WLN,West Midlands Railway,Shrewsbury,Shropshire,52.700928,-2.516438,,,,,,,,,,,,,,,
CM099,Telford Central,TFC,West Midlands Railway,Shrewsbury,Shropshire,52.678764,-2.440744,,,,,,,,,,,,,,,
CM100,Oakengates,OKN,West Midlands Railway,Shrewsbury,Shropshire,52.693104,-2.451245,,,,,,,,,,,,,,,
CM101,Shifnal,SFN,West Midlands Railway,Shrewsbury,Shropshire,52.666405,-2.371116,,,,,,,,,,,,,,,
CM102,Cosford,COS,West Midlands Railway,Shrewsbury,Shropshire,52.645031,-2.301479,,,,,,,,,,,,,,,
CM103,Albrighton,ALB,West Midlands Railway,Shrewsbury,Shropshire,52.637917,-2.268913,,,,,,,,,,,,,,,
CM104,Shrewsbury,SHR,West Midlands Railway,Shrewsbury,Shropshire,52.711369,-2.74897,,,,,,,,,,,,,,,
CM105,Kidderminster,KID,West Midlands Railway,Hereford,Worcestershire,52.384457,-2.239458,,,,,,,,,,,,,,,
CM106,Hartlebury,HBY,West Midlands Railway,Hereford,Worcestershire,52.335049,-2.22158,,,,,,,,,,,,,,,
CM107,Droitwich Spa,DTW,West Midlands Railway,Hereford,Worcestershire,52.26862,-2.158239,,,,,,,,,,,,,,,
CM108,Worcester Foregate Street,WOF,West Midlands Railway,Hereford,Worcestershire,52.194801,-2.220885,,,,,,,,,,,,,,,
CM109,Worcester Shrub Hill,WOS,West Midlands Railway,Hereford,Worcestershire,52.194817,-2.210642,,,,,,,,,,,,,,,
CM110,Malvern Link,MVL,West Midlands Railway,Hereford,Worcestershire,52.12534,-2.31987,,,,,,,,,,,,,,,
CM111,Great Malvern,GMV,West Midlands Railway,Hereford,Worcestershire,52.109165,-2.318289,,,,,,,,,,,,,,,
CM112,Colwall,CWL,West Midlands Railway,Hereford,Herefordshire,52.080284,-2.357489,,,,,,,,,,,,,,,
CM113,Ledbury,LED,West Midlands Railway,Hereford,Herefordshire,52.044991,-2.425728,,,,,,,,,,,,,,,
CM114,Hereford,HFD,West Midlands Railway,Hereford,Herefordshire,52.060715,-2.708854,,,,,,,,,,,,,,,
CM115,Jewellery Quarter,JEQ,West Midlands Railway,Snow Hill,West Midlands,52.489514,-1.913522,,,,,,,,,,,,,,,
CM116,The Hawthorns,THW,West Midlands Railway,Snow Hill,West Midlands,52.505165,-1.96313,,,,,,,,,,,,,,,
CM117,Langley Green,LGG,West Midlands Railway,Snow Hill,West Midlands,52.494385,-2.005857,,,,,,,,,,,,,,,
CM118,Rowley Regis,ROW,West Midlands Railway,Snow Hill,West Midlands,52.477299,-2.030885,,,,,,,,,,,,,,,
CM119,Old Hill,OHL,West Midlands Railway,Snow Hill,West Midlands,52.470993,-2.055913,,,,,,,,,,,,,,,
CM120,Cradley Heath,CRA,West Midlands Railway,Snow Hill,West Midlands,52.469177,-2.08976,,,,,,,,,,,,,,,
CM121,Lye,LYE,West Midlands Railway,Snow Hill,West Midlands,52.459267,-2.116233,,,,,,,,,,,,,,,
CM122,Stourbridge Junction,SBJ,West Midlands Railway,Snow Hill,West Midlands,52.447563,-2.133857,,,,,,,,,,,,,,,
CM123,Stourbridge Town,SBT,West Midlands Railway,Branch,West Midlands,52.456539,-2.142716,,,,,,,,,,,,,,,
CM124,Hagley,HAG,West Midlands Railway,Worcester,Worcestershire,52.422375,-2.147018,,,,,,,,,,,,,,,
CM125,Blakedown,BKD,West Midlands Railway,Worcester,Worcestershire,52.406147,-2.176365,,,,,,,,,,,,,,,
CM126,Nuneaton,NUN,West Midlands Railway,Coventry,Warwickshire,52.526436,-1.463431,,,,,,,,,,,,,,,
CM127,Bedworth,BEH,West Midlands Railway,Coventry,Warwickshire,52.479133,-1.46749,,,,,,,,,,,,,,,
CM128,Bermuda Park,BEP,West Midlands Railway,Coventry,Warwickshire,52.5029,-1.4726,,,,,,,,,,,,,,,
